Artikelname,BildURL,data_id,data_productid,data_index,title_attribute,ref,unit_title,unit_value,unit_label,tags,volume_raw,volume_liters
Bacardi Carta Blanca (3l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230502-0708_ndGNupq87NofefaPn-small.jpg,nJB3BxjzMJf2dsjBE,nJB3BxjzMJf2dsjBE,316,Bacardi Carta Blanca (3l),21034,Fl,fl,Fl,,3l,3
Bacardi Carta Negra (0.7l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230118-2150_LgbBubxArDCt8wvzv-small.jpg,p5mdStJKbThnRY6q4,p5mdStJKbThnRY6q4,317,Bacardi Carta Negra (0.7l),21035,Fl,fl,Fl,,0.7l,0.7
Bacardi Carta Negra (1l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220822-0350_293AtXJbcZKP3XkGs-small.jpg,rpw4sCd2aosXZq8aX,rpw4sCd2aosXZq8aX,318,Bacardi Carta Negra (1l),21036,Fl,fl,Fl,,1l,1
Bacardi Carta Oro (0.7l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_221219-1233_qkkBQ9rM89wdHLFKG-small.png,XeYR9HYryqpAaT8u7,XeYR9HYryqpAaT8u7,319,Bacardi Carta Oro (0.7l),21037,Fl,fl,Fl,,0.7l,0.7
Bacardi Carta Oro (1l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230511-0945_jvMDiSzwacdr8yjZG-small.jpg,bGXtjnmMXnDaXaev3,bGXtjnmMXnDaXaev3,320,Bacardi Carta Oro (1l),21038,Fl,fl,Fl,,1l,1
Bacardi Coconut (0.7l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_221219-1235_pLc9NGtGYH3eaxoDy-small.jpg,3kesDNWGdLeCYD2zc,3kesDNWGdLeCYD2zc,321,Bacardi Coconut (0.7l),21148,Fl,fl,Fl,,0.7l,0.7
"Bacardi Frozen Premix Daiquiri 6x1,5l",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230511-0946_Cgamm2nBK59Cpnk5X-small.jpg,pFSo3bER7T6TxMh64,pFSo3bER7T6TxMh64,322,"Bacardi Frozen Premix Daiquiri 6x1,5l",21159,Karton,karton,Karton,,"1,5l",1.5
Bacardi Oakheart (0.7l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_221205-1908_xsmBhL7WKnfmQxSD9-small.jpg,Biodmww26zMxENGiX,Biodmww26zMxENGiX,323,Bacardi Oakheart (0.7l),21043,Fl,fl,Fl,,0.7l,0.7
Bacardi Razz (0.7l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220815-0859_92zBEmmr45JWrNJbW-original.png,nSivgrhMquhcbvtRd,nSivgrhMquhcbvtRd,324,Bacardi Razz (0.7l),21041,Fl,fl,Fl,,0.7l,0.7
Bacardi Razz (1l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220815-0859_z6NxLbpCEF2NsxbX3-original.png,tYRBWYLFgt9S4Bots,tYRBWYLFgt9S4Bots,325,Bacardi Razz (1l),21042,Fl,fl,Fl,,1l,1
