Artikelname,BildURL,data_id,data_productid,data_index,title_attribute,ref,unit_title,unit_value,unit_label,tags,volume_raw,volume_liters
BIB & TUCKER Bourbon (0.7l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230429-0840_JWLxGDNrkAZJb947c-small.jpg,h6sJzPTR33CEEMYR6,h6sJzPTR33CEEMYR6,307,BIB & TUCKER Bourbon (0.7l),26129,Fl,fl,Fl,,0.7l,0.7
Ballantine's 12years Old Special (0.7l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230121-0845_SKfitjWgwrArAhFG3-small.jpg,WZQzokbwrmBQfCf5o,WZQzokbwrmBQfCf5o,388,Ballantine's 12years Old Special (0.7l),26089,Fl,fl,Fl,,0.7l,0.7
Ballantine's Finest Scotch Whisky (0.7l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230121-0846_pEeafuZMEkgG54ffx-small.png,kyAmxM37HRqnD4kJz,kyAmxM37HRqnD4kJz,389,Ballantine's Finest Scotch Whisky (0.7l),26086,Fl,fl,Fl,,0.7l,0.7
Ballantine's Finest Scotch Whisky (1l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230429-0840_TxqnFsbxm4z7Zifrd-small.jpg,kh4m3QMpESxAknYov,kh4m3QMpESxAknYov,390,Ballantine's Finest Scotch Whisky (1l),26087,Fl,fl,Fl,,1l,1
Basil Hayden's Bourbon (0.7l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230429-0840_EW8W9LuHdL2sG8mvy-small.jpg,kB4chXuAiAQG6c9Ew,kB4chXuAiAQG6c9Ew,408,Basil Hayden's Bourbon (0.7l),26234,Fl,fl,Fl,,0.7l,0.7
BenRiach Heart of Speyside (0.7l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230429-0841_x5SMagzr2yRtsQsoc-small.jpg,5sjrD8sEnnPwSxRdd,5sjrD8sEnnPwSxRdd,464,BenRiach Heart of Speyside (0.7l),26149,Fl,fl,Fl,,0.7l,0.7
Big Peat 26years (0.7l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230429-0842_NThbgpSssZJeoocYZ-small.jpg,KebqNXq7J5xFv3cc5,KebqNXq7J5xFv3cc5,486,Big Peat 26years (0.7l),26119,Fl,fl,Fl,,0.7l,0.7
Big Peat Islay (0.7l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230429-0842_gtcN8PHcdPTNhYJyc-small.jpg,PmcngHNGTKodxdetJ,PmcngHNGTKodxdetJ,487,Big Peat Islay (0.7l),26118,Fl,fl,Fl,,0.7l,0.7
Bowmore 12years (0.7l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230121-1016_E3bFyJ9apnauPFpJu-small.jpg,ARQcwLjwBLbDotQhv,ARQcwLjwBLbDotQhv,644,Bowmore 12years (0.7l),26178,Fl,fl,Fl,,0.7l,0.7
Bowmore 15years (0.7l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230429-0843_xaJgNPypWyKXLXnAE-small.jpg,ncNaWZraLZZx8z9w8,ncNaWZraLZZx8z9w8,645,Bowmore 15years (0.7l),26179,Fl,fl,Fl,,0.7l,0.7
