Artikelname,BildURL,data_id,data_productid,data_index,title_attribute,ref,unit_title,unit_value,unit_label,tags,volume_raw,volume_liters
"Riedenburger Dolden Null (10x0,33l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_250520-1450_mQjczRoYg334ePett-small.jpeg,vMSgz33tjLPSioxiF,vMSgz33tjLPSioxiF,3797,"Riedenburger Dolden Null (10x0,33l)",3185,Ki,ki,Ki,,"0,33l",0.33
"Riedenburger Dolden SUD IPA (10x0,33l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_250326-1959_9fvGrpiJWNJGAbcDZ-small.jpeg,xt3vqJtHRsdyGdLwy,xt3vqJtHRsdyGdLwy,3798,"Riedenburger Dolden SUD IPA (10x0,33l)",3617,Ki (10 Fl),ki,Ki (10 Fl),,"0,33l",0.33
Rittmayer 1422 Hell (0.5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_231206-1342_RWR9FrHe25gLSB3no-small.jpeg,XK3tqBLxCvgBtBnGL,XK3tqBLxCvgBtBnGL,3803,Rittmayer 1422 Hell (0.5l),3170,Ki (20 Fl),ki,Ki (20 Fl),Vorbesteller | Vorbesteller,0.5l,0.5
Rittmayer Hausbrauer Bier (0.5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_231206-1342_Z7MkZw9ZqLzX7EgKM-small.jpeg,6g8oeZwmTqpxQ6yhC,6g8oeZwmTqpxQ6yhC,3804,Rittmayer Hausbrauer Bier (0.5l),3358,Ki (20 Fl),ki,Ki (20 Fl),,0.5l,0.5
Rittmayer Hefeweißbier (0.5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_231206-1342_HMQBeXyXKo9eyXWsm-small.jpeg,LpdGmEueSHhCTQ8XP,LpdGmEueSHhCTQ8XP,3805,Rittmayer Hefeweißbier (0.5l),3114,Ki (20 Fl),ki,Ki (20 Fl),,0.5l,0.5
Rittmayer Hefeweißbier Alkoholfrei (0.5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_231206-1347_LLioKThXTgH95qcgd-small.jpeg,tSSbBacF4T4Xb3Mdb,tSSbBacF4T4Xb3Mdb,3806,Rittmayer Hefeweißbier Alkoholfrei (0.5l),3115,Ki (20 Fl),ki,Ki (20 Fl),,0.5l,0.5
Rittmayer Kellerbier (0.5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_231206-1347_HbYhA4yHmWaPwa7kp-small.jpeg,pzbN9kRgejD5f7Ypx,pzbN9kRgejD5f7Ypx,3807,Rittmayer Kellerbier (0.5l),3117,Ki (20 Fl),ki,Ki (20 Fl),Aktion | Aktion,0.5l,0.5
Rittmayer Kellerbier Fass,https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_231206-1348_99GpDxubatq9csKRh-small.jpeg,NfsvCmjcZNduTKqjm,NfsvCmjcZNduTKqjm,3808,Rittmayer Kellerbier Fass,3555,Fass,fass,Fass,,,
Rittmayer Kellerbier alkoholfrei (0.5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_231206-1348_jdzhvnAB4LTBZyd6q-small.jpeg,KswYhDLhzarGGqGxJ,KswYhDLhzarGGqGxJ,3809,Rittmayer Kellerbier alkoholfrei (0.5l),3322,Ki (20 Fl),ki,Ki (20 Fl),,0.5l,0.5
"Rittmayer Landbier Hell ""Plopp"" (0.33l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_231206-1349_oGiTm6eRoAZpuRXEJ-small.jpeg,Acq9d6TSswCSW85Gq,Acq9d6TSswCSW85Gq,3810,"Rittmayer Landbier Hell ""Plopp"" (0.33l)",3266,Ki (20 Fl),ki,Ki (20 Fl),,0.33l,0.33
Rittmayer Landbier Hell (0.5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_231206-1349_B249NvzSzSLEenbF3-small.jpeg,nYgxc3pqYmBAJzwdx,nYgxc3pqYmBAJzwdx,3811,Rittmayer Landbier Hell (0.5l),3116,Ki (20 Fl),ki,Ki (20 Fl),,0.5l,0.5
Rittmayer Landbier Hell (30l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_231206-1349_DnX56AMKoBTuJEjHb-small.jpeg,E7Nzee29RGYcTYaLc,E7Nzee29RGYcTYaLc,3812,Rittmayer Landbier Hell (30l),3157,Fass,fass,Fass,,30l,30
Rittmayer Radler (0.5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_231206-1346_iYaN263RkgPjvf98T-small.jpeg,vBBFkKSFKwAGLgHsX,vBBFkKSFKwAGLgHsX,3813,Rittmayer Radler (0.5l),3119,Ki (20 Fl),ki,Ki (20 Fl),,0.5l,0.5
Rothaus Tannenzäpfle (0.33l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230419-0756_HhJuMWFamj9sw7wvB-small.jpg,EqgFuLofCa8mKG9PA,EqgFuLofCa8mKG9PA,3865,Rothaus Tannenzäpfle (0.33l),3069,Ki (24 Fl),ki,Ki (24 Fl),,0.33l,0.33
Rothaus Tannenzäpfle Alkoholfrei (0.33l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_231206-1344_c2DHZjfnxHCwbPDQT-small.jpeg,wsDr8auAqZ9nvb5PA,wsDr8auAqZ9nvb5PA,3866,Rothaus Tannenzäpfle Alkoholfrei (0.33l),3070,Ki (24 Fl),ki,Ki (24 Fl),,0.33l,0.33
Salitos Blue (0.33l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220822-0331_byxP2rf4kwweZEKbr-small.jpg,JSup8cGeEjETxMwjN,JSup8cGeEjETxMwjN,3900,Salitos Blue (0.33l),3084,Ki (24 Fl),ki,Ki (24 Fl),,0.33l,0.33
Salitos Ice (0.33l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220822-0330_Fqq4XPgGmm64qR5qA-small.jpg,r4QLFYcSn4xFEiQjj,r4QLFYcSn4xFEiQjj,3901,Salitos Ice (0.33l),3083,Ki (24 Fl),ki,Ki (24 Fl),,0.33l,0.33
"Salitos Mojito (24x0,33l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_240403-0423_rWzh9etvqZgdgNMcf-small.jpeg,GtXQmsBmiDWtNKxSr,GtXQmsBmiDWtNKxSr,3903,"Salitos Mojito (24x0,33l)",3574,Ki,ki,Ki,,"0,33l",0.33
Salitos Pink Strawberry (0.33l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220822-0330_NFP9iCZFcno2mrmEe-small.jpg,DdEq7YogqocWSRNwu,DdEq7YogqocWSRNwu,3904,Salitos Pink Strawberry (0.33l),3391,Ki (24 Fl),ki,Ki (24 Fl),,0.33l,0.33
"Salitos Sunrise (24x0,33l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_250520-1448_HMPGoTqP35cGhb5pv-small.jpeg,4H8qkgx7i89LYjNJm,4H8qkgx7i89LYjNJm,3906,"Salitos Sunrise  (24x0,33l)",3624,Ki,ki,Ki,,"0,33l",0.33
Salitos Tequila Beer (0.33l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220608-1007_dy9eSbghJrkQswT5q-small.jpg,edphWquQC4nbgTnpc,edphWquQC4nbgTnpc,3907,Salitos Tequila Beer (0.33l),3082,Ki (24 Fl),ki,Ki (24 Fl),,0.33l,0.33
San Miguel (0.33l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_231206-1343_fQgkd3rWS7pYSR9XL-small.jpeg,ehcXuFrdN7NLpd2gd,ehcXuFrdN7NLpd2gd,3918,San Miguel (0.33l),3123,Ki (24 Fl),ki,Ki (24 Fl),,0.33l,0.33
