Artikelname,BildURL,data_id,data_productid,data_index,title_attribute,ref,unit_title,unit_value,unit_label,tags,volume_raw,volume_liters
Limetten 1 kg,https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_250117-1352_XR8w79h6DRNDDxnyk-small.jpeg,aHB7aAXcuKaSHXZtR,aHB7aAXcuKaSHXZtR,2580,Limetten 1 kg,96002,Sack,sack,Sack,Vorbesteller | Vorbesteller,,
"Zitronen 1,5 kg",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_250117-1347_FYDAFdDz2q72g5zpg-small.jpeg,Z8qwzq5ePBpKLt4iw,Z8qwzq5ePBpKLt4iw,5123,"Zitronen 1,5 kg",96001,Sack,sack,Sack,Vorbesteller | Vorbesteller,,
