Artikelname,BildURL,data_id,data_productid,data_index,title_attribute,ref,unit_title,unit_value,unit_label,tags,volume_raw,volume_liters
Bulmer's Original Cider (0.5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_221128-2056_tCMBx5hL5GeNzsmt7-small.jpg,zeQoyGW6KKG7wf2LE,zeQoyGW6KKG7wf2LE,673,Bulmer's Original Cider (0.5l),7001,Ki (12 Fl),ki,Ki (12 Fl),,0.5l,0.5
Bulmer's Pear Cider (0.5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230201-2102_yzfQxXAgwJ2nqcTHY-small.jpeg,kbKjE2rs2spiNEjQm,kbKjE2rs2spiNEjQm,674,Bulmer's Pear Cider (0.5l),7003,Ki (12 Fl),ki,Ki (12 Fl),,0.5l,0.5
Bulmer's Red Berries (0.5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230425-0650_YJLJDyq4azB8FYXAZ-small.jpg,khJ9JvPyknkQi8ixt,khJ9JvPyknkQi8ixt,675,Bulmer's Red Berries (0.5l),7004,Ki (12 Fl),ki,Ki (12 Fl),,0.5l,0.5
Cidre La Cidraie herb (0.75l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230201-2121_Gdf9BTA9BEP5pEiA3-small.jpg,,,,,,,,,,,
"Hesselberger - Apfelcider (24x0,33l)",,WGr5BHhuSH2KFMT8v,WGr5BHhuSH2KFMT8v,2076,"Hesselberger - Apfelcider (24x0,33l)",7002,Ki (24 Fl),ki,Ki (24 Fl),Vorbesteller | Vorbesteller,"0,33l",0.33
"Hesselberger - Birnencider (24x0,33l)",,pXmvMmM8DqLciq7rF,pXmvMmM8DqLciq7rF,2078,"Hesselberger - Birnencider (24x0,33l)",7008,Ki (24 Fl),ki,Ki (24 Fl),Vorbesteller | Vorbesteller,"0,33l",0.33
Possmann Apfelwein (1l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230425-0650_MwZxeZ9zs4qGqQjud-small.jpg,yB7aCMQhryfngheJk,yB7aCMQhryfngheJk,3535,Possmann Apfelwein (1l),7009,Krt (6 Fl),krt,Krt (6 Fl),Vorbesteller | Vorbesteller,1l,1
Somersby Apple Cider (0.33l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_221219-2013_358z9ePykkTGFTgBu-small.jpg,fRbqBzqhg9n2gCWya,fRbqBzqhg9n2gCWya,4165,Somersby Apple Cider (0.33l),7011,Ki (24 Fl),ki,Ki (24 Fl),,0.33l,0.33
"Somersby Blackberry Cider (24x0,33l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_250520-1425_rqPHfiMoeZ9saBsxx-small.jpeg,h6duzD5ELZXpuT2dY,h6duzD5ELZXpuT2dY,4166,"Somersby Blackberry Cider          (24x0,33l)",7017,Pack,pack,Pack,,"0,33l",0.33
