Artikelname,BildURL,data_id,data_productid,data_index,title_attribute,ref,unit_title,unit_value,unit_label,tags,volume_raw,volume_liters
St. Leonhards Quelle Medium (1l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230419-0757_cArbjrTL9hE6GPGDZ-small.jpg,rk2mAZ8LprKDyiiRr,rk2mAZ8LprKDyiiRr,4212,St. Leonhards Quelle Medium (1l),9088,Krt (6 Fl),krt,Krt (6 Fl),,1l,1
St. Leonhards Quelle Still (1l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230419-0758_WfYAWRjuFibxP4LJP-small.jpg,fYEF7Kd7q22ci6cto,fYEF7Kd7q22ci6cto,4213,St. Leonhards Quelle Still (1l),9087,Krt (6 Fl),krt,Krt (6 Fl),,1l,1
Staatl. Fachinger Medium (0.25l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_231117-1158_WQFDGAAoyfycu2typ-small.jpeg,LDQ5oZ3JWKeugvLqX,LDQ5oZ3JWKeugvLqX,4214,Staatl. Fachinger Medium (0.25l),9123,Ki (24 Fl),ki,Ki (24 Fl),,0.25l,0.25
Staatl. Fachinger Medium (0.75l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_231117-1158_JAFBCc4rCKhpeiWe8-small.jpeg,vS9nc69QyzoJBhNXc,vS9nc69QyzoJBhNXc,4215,Staatl. Fachinger Medium (0.75l),9122,Ki (12 Fl),ki,Ki (12 Fl),,0.75l,0.75
Staatl. Fachinger Still (0.25l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_231117-1157_6pHnTQAyEt4nSRxke-small.jpeg,EwX94DSr3jhEQKb3e,EwX94DSr3jhEQKb3e,4216,Staatl. Fachinger Still (0.25l),9121,Ki (24 Fl),ki,Ki (24 Fl),,0.25l,0.25
Staatl. Fachinger Still (0.75l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_231117-1156_cTgY4CodZjzFvNDDA-small.jpeg,PmNqz8nqYzrohtpSE,PmNqz8nqYzrohtpSE,4217,Staatl. Fachinger Still (0.75l),9120,Ki (12 Fl),ki,Ki (12 Fl),,0.75l,0.75
Taunusquelle Gastro Medium (0.25l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_240402-1040_rtK5Az3TSmvCPCYDT-small.jpeg,YKumjmxA64jxSGd7s,YKumjmxA64jxSGd7s,4297,Taunusquelle Gastro Medium (0.25l),9209,Ki (20 Fl),ki,Ki (20 Fl),Vorbesteller | Vorbesteller,0.25l,0.25
Taunusquelle Gastro Medium (0.75l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230123-1009_WM9u4nRizWcgbQ2X4-small.jpg,26SqRfQ5dcQCZwcpZ,26SqRfQ5dcQCZwcpZ,4298,Taunusquelle Gastro Medium (0.75l),9208,Ki (12 Fl),ki,Ki (12 Fl),Vorbesteller | Vorbesteller,0.75l,0.75
Taunusquelle Gastro Naturell (0.25l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_240402-1040_2QGTCEKbYnWqpYL39-small.jpeg,fcJBRirgFxxzZc8Z2,fcJBRirgFxxzZc8Z2,4299,Taunusquelle Gastro Naturell (0.25l),9207,Ki (20 Fl),ki,Ki (20 Fl),Vorbesteller | Vorbesteller,0.25l,0.25
Taunusquelle Gastro Naturell (0.75l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230123-1010_XSzRHBo4gWY93fpzh-small.jpg,zcQ6kEJm2AZTAZZkp,zcQ6kEJm2AZTAZZkp,4300,Taunusquelle Gastro Naturell (0.75l),9206,Ki (12 Fl),ki,Ki (12 Fl),Vorbesteller | Vorbesteller,0.75l,0.75
