Artikelname,BildURL,data_id,data_productid,data_index,title_attribute,ref,unit_title,unit_value,unit_label,tags,volume_raw,volume_liters
"Frankenbrunnen Raspa Orange Glas 20x0,25l",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230530-1445_cWCcqks9iRWxLBF9s-small.jpeg,NaZ9pYaafjhsDC7Ra,NaZ9pYaafjhsDC7Ra,1558,"Frankenbrunnen Raspa Orange Glas 20x0,25l",8562,Kiste,kiste-,Kiste,,"0,25l",0.25
Frankenbrunnen Select Zitrone (0.75l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230530-1446_xsPSPiNHTdZHLvtg2-small.jpeg,jHtEy2HqwDEm5BtE6,jHtEy2HqwDEm5BtE6,1562,Frankenbrunnen Select Zitrone (0.75l),8512,Ki (12 Fl),ki,Ki (12 Fl),,0.75l,0.75
"Frankenbrunnen Tee Ole Individual PET (11x0,5l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_250521-0856_5KZAp42H3MvizaiPc-small.jpeg,ufdFbq3jcKE7Q5q6s,ufdFbq3jcKE7Q5q6s,1568,"Frankenbrunnen Tee Ole Individual  PET (11x0,5l)",8712,Ki,ki,Ki,,"0,5l",0.5
Frankenbrunnen Tee Ole PET (0.5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230530-1446_XaZeatTxfbLv5QpP9-small.jpeg,G5tXQf5rEp3Kfsaiz,G5tXQf5rEp3Kfsaiz,1569,Frankenbrunnen Tee Ole PET (0.5l),8235,Ki (20 Fl),ki,Ki (20 Fl),,0.5l,0.5
Frankenbrunnen Zitrone Glas (0.5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230530-1447_Qne9bmjHiNJSvMygx-small.jpeg,qwQjmWLdCwMg7RGex,qwQjmWLdCwMg7RGex,1570,Frankenbrunnen Zitrone Glas (0.5l),8266,Ki (20 Fl),ki,Ki (20 Fl),,0.5l,0.5
"Frankenbrunnen Zitrone Indivi. PET (0,5l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_221227-1404_hFGgTiao5yFaaHANX-small.jpg,85xD7YgfmFjrHDDrW,85xD7YgfmFjrHDDrW,1571,"Frankenbrunnen Zitrone Indivi. PET (0,5l)",8583,Kiste,kiste,Kiste,,"0,5l",0.5
"Frankenbrunnen Zitrone Individual Glas 12x0,75l",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_231125-1025_DLfEK8mepoYWmqBEr-small.jpeg,oLYZ8Rmgu48wZ4LsN,oLYZ8Rmgu48wZ4LsN,1572,"Frankenbrunnen Zitrone Individual Glas 12x0,75l",8555,Kiste,kiste-,Kiste,,"0,75l",0.75
Frankenbrunnen Zitrone PET (0.75l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_231125-1026_kAF5B9m58MANwHKXm-small.jpeg,FqDup9R2f58235jhq,FqDup9R2f58235jhq,1573,Frankenbrunnen Zitrone PET (0.75l),8206,Ki (12 Fl),ki,Ki (12 Fl),,0.75l,0.75
Fritz Anjola Ananas-Limette Bio (0.2l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_231125-1027_qJTJyYTHJ92QtJ4cA-small.jpeg,EW9NpnFC2cPJqnzAq,EW9NpnFC2cPJqnzAq,1588,Fritz Anjola Ananas-Limette Bio (0.2l),8382,Ki (24 Fl),ki,Ki (24 Fl),,0.2l,0.2
Fritz Anjola Ananas-Limette Bio (0.33l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230530-1448_dd4izLKvkSN7yuL2F-small.jpeg,A6APgPxDyikDqwMKx,A6APgPxDyikDqwMKx,1589,Fritz Anjola Ananas-Limette Bio (0.33l),8381,Ki (24 Fl),ki,Ki (24 Fl),,0.33l,0.33
Fritz Kola (0.2l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220818-0343_dDJyGoSiK4taPpMiv-small.jpg,d6ytfobWJof9Sp5bb,d6ytfobWJof9Sp5bb,1590,Fritz Kola (0.2l),8046,Ki (24 Fl),ki,Ki (24 Fl),,0.2l,0.2
Fritz Kola (0.33l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_221128-1917_6mN32BJu6D5iArY34-small.jpg,D2RaHX8cC4wFy5jwH,D2RaHX8cC4wFy5jwH,1591,Fritz Kola (0.33l),8047,Ki (24 Fl),ki,Ki (24 Fl),,0.33l,0.33
