Artikelname,BildURL,data_id,data_productid,data_index,title_attribute,ref,unit_title,unit_value,unit_label,tags,volume_raw,volume_liters
"Ramazzotti Sambuca 0,7l",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230128-1352_Yp287vjXGZfgpA2yu-small.jpg,xpLowXrRAHMg9wyvb,xpLowXrRAHMg9wyvb,3650,"Ramazzotti Sambuca 0,7l",1025,Flasche,flasche,Flasche,,"0,7l",0.7
Rauch Absinth 77.7 (0.5l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_231206-1239_T4gTQzzn4NoBPwDbo-small.jpeg,kjKmELgE9iN5WNRda,kjKmELgE9iN5WNRda,3660,Rauch Absinth 77.7 (0.5l),1021,Fl,fl,Fl,,0.5l,0.5
Ricard (0.7l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_231206-1239_8jRXLsnFAyCyL7hnQ-small.jpeg,44k3zu6sn8K97Tjr8,44k3zu6sn8K97Tjr8,3790,Ricard (0.7l),1005,Fl,fl,Fl,,0.7l,0.7
Ricard (1l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_231206-1240_ezt873HKnfgniLpFJ-small.jpeg,Wn785sLc4FzJJtb2J,Wn785sLc4FzJJtb2J,3791,Ricard (1l),1006,Fl,fl,Fl,,1l,1
Romana Sambuca,https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_221221-1756_2YCNcQmKQBbn2hbhC-small.jpg,mtPiQAFfHtuwkmeDX,mtPiQAFfHtuwkmeDX,3821,Romana Sambuca,1024,Flasche,flasche,Flasche,,,
Sambuca Hausmarke (1l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220829-0940_Zj6KvSgfkMFN9jRib-small.jpg,AsxajQECYq3b7YNiA,AsxajQECYq3b7YNiA,3913,Sambuca Hausmarke (1l),1020,Fl,fl,Fl,,1l,1
Select Bitter Aperitif (0.7l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_231206-1240_cuHH7DT3eRTWNrKyk-small.jpeg,YEGYzyTnKRC5WSQ8B,YEGYzyTnKRC5WSQ8B,4082,Select Bitter Aperitif (0.7l),2079,Fl,fl,Fl,,0.7l,0.7
Serpis Dry Absinth (1l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_231206-1241_Kv3cgz7kTS7F2k3s5-small.jpeg,ZZPp5X5RBzm3ZXuDB,ZZPp5X5RBzm3ZXuDB,4090,Serpis Dry Absinth (1l),1008,Fl,fl,Fl,,1l,1
"Simon's ""Duro 1469"" Bavarian Style (0.75l)",https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_231206-1318_Lec6PKfxdorLs9pNY-small.jpeg,zrQowtJhS5iWGiCBj,zrQowtJhS5iWGiCBj,4126,"Simon's ""Duro 1469"" Bavarian Style (0.75l)",2059,Fl,fl,Fl,,0.75l,0.75
Tabu Absinth Classic (0.7l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_231206-1247_GEtFxBnB9WzBbetDS-small.jpeg,3vjGqkW27XnJrCHT8,3vjGqkW27XnJrCHT8,4270,Tabu Absinth Classic (0.7l),1009,Fl,fl,Fl,,0.7l,0.7
Tails Espresso Martini (1l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_230304-0801_h48o6pyfksGiQcksE-small.jpg,mqSrMSSdu9fdduc3W,mqSrMSSdu9fdduc3W,4273,Tails Espresso Martini (1l),2085,Fl,fl,Fl,,1l,1
Tails Mojito (1l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_231206-1247_9Z7E5iYPjoE2hE56v-small.jpeg,wbyuA9ms5grafpHWX,wbyuA9ms5grafpHWX,4275,Tails Mojito (1l),2091,Fl,fl,Fl,,1l,1
Tails Pornstar Martini (1l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_231206-1249_GLKPJXWZtwWREiZTt-small.jpeg,jbzw8KMJhr4D9df7z,jbzw8KMJhr4D9df7z,4277,Tails Pornstar Martini (1l),2084,Fl,fl,Fl,,1l,1
Toso Gamondi Aperitivo (1l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_231206-1251_B984QJ4XCbCAaBnX3-small.jpeg,jQHWXGRHoKyxdkBFc,jQHWXGRHoKyxdkBFc,4480,Toso Gamondi Aperitivo (1l),2081,Fl,fl,Fl,,1l,1
Vermouth Di Torino 1757 Rosso (1l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_220818-0352_A2Z3yG7Zn9f7mQeS9-small.jpg,toozgJZjQAkTXf47h,toozgJZjQAkTXf47h,4625,Vermouth Di Torino 1757 Rosso (1l),2092,Fl,fl,Fl,,1l,1
Vincent Aperitif (0.7l),https://cdn.orderlion.com/itemimages/_supplier_7JWbbFcM6nq2am6mM/_231206-1254_Gwor48q8bJZfBCvpT-small.jpeg,DzYzmHDehDaji7d7s,DzYzmHDehDaji7d7s,4687,Vincent Aperitif (0.7l),2076,Fl,fl,Fl,,0.7l,0.7
