"Kunde";"Bestelldatum";"Bestelldatum_Roh";"Bestellzeit";"Bestellnummer";"Zustelldatum";"Bestellübersicht";"Interne Tags"
"STEMA Gastro UG (haftungsbesch";"Di., 25.11.25 15:23";"Di., 25.11.25";"15:23";"10352-250038451";"Mi., 26.11.25";"1";""
"Frankenfarm Direktvermarktungs GmbH";"Di., 25.11.25 15:02";"Di., 25.11.25";"15:02";"13168-250038450";"Do., 27.11.25";"4";""
"Haymat GmbH";"Di., 25.11.25 15:01";"Di., 25.11.25";"15:01";"12487-250038449";"Mi., 26.11.25";"1";""
"Holy Monk";"Di., 25.11.25 14:56";"Di., 25.11.25";"14:56";"10340-250038448";"Mi., 26.11.25";"18";""
"Der Foodpark";"Di., 25.11.25 14:54";"Di., 25.11.25";"14:54";"12664-250038447";"Mi., 26.11.25";"12";""
"Tante Betty GbR";"Di., 25.11.25 14:49";"Di., 25.11.25";"14:49";"13377-250038446";"Mi., 26.11.25";"9";""
"Bratwurstglöcklein Behringer";"Di., 25.11.25 14:47";"Di., 25.11.25";"14:47";"13108-250038445";"Mi., 26.11.25";"8";""
"Zollhof Betreiber GmbH";"Di., 25.11.25 14:40";"Di., 25.11.25";"14:40";"12936-250038444";"Mi., 26.11.25";"3";""
"Bäcker Feihl -  Äußere Bayreuther Straße";"Di., 25.11.25 14:27";"Di., 25.11.25";"14:27";"13779-250038443";"Di., 02.12.25";"10";""
"Gelbes Haus Oliver Kirschner e.K. (Klingenhofstraße)";"Di., 25.11.25 14:24";"Di., 25.11.25";"14:24";"11971-250038442";"Mi., 26.11.25";"3";""
"Papa Joe's GmbH";"Di., 25.11.25 14:15";"Di., 25.11.25";"14:15";"13024-250038441";"Do., 27.11.25";"1";""
"Muu Korean Kitchen";"Di., 25.11.25 13:45";"Di., 25.11.25";"13:45";"13486-250038440";"Mi., 26.11.25";"6";""
"Only";"Di., 25.11.25 13:41";"Di., 25.11.25";"13:41";"10642-250038439";"Mi., 26.11.25";"12";""
"Haus am See GbR";"Di., 25.11.25 13:30";"Di., 25.11.25";"13:30";"12533-250038438";"Mi., 26.11.25";"18";""
"LP Konzept GmbH (Bliss)";"Di., 25.11.25 13:19";"Di., 25.11.25";"13:19";"14010-250038437";"Mi., 26.11.25";"21";""
"Mono Bar";"Di., 25.11.25 13:16";"Di., 25.11.25";"13:16";"10189-250038436";"Mi., 26.11.25";"19";""
"Spielhalle ""Jackpot""";"Di., 25.11.25 13:15";"Di., 25.11.25";"13:15";"11962-250038435";"Mi., 26.11.25";"6";""
"Schuler GmbH";"Di., 25.11.25 13:14";"Di., 25.11.25";"13:14";"11500-250038434";"Do., 27.11.25";"5";""
"Elmografico";"Di., 25.11.25 13:08";"Di., 25.11.25";"13:08";"13662-250038433";"Mi., 26.11.25";"6";""
"LRT technologies GmbH";"Di., 25.11.25 13:07";"Di., 25.11.25";"13:07";"10856-250038433";"Mi., 26.11.25";"5";""
"vedans";"Di., 25.11.25 13:06";"Di., 25.11.25";"13:06";"11382-250038432";"Do., 04.12.25";"11";""
"Suse Software Solutions Germany";"Di., 25.11.25 13:01";"Di., 25.11.25";"13:01";"11842-250038431";"Mi., 26.11.25";"6";""
"La Piazzetta - Sizilianische";"Di., 25.11.25 13:00";"Di., 25.11.25";"13:00";"10430-250038430";"Mi., 26.11.25";"6";""
"LRT technologies GmbH";"Di., 25.11.25 12:59";"Di., 25.11.25";"12:59";"12520-250038429";"Mi., 26.11.25";"4";""
"LATENT GmbH";"Di., 25.11.25 12:45";"Di., 25.11.25";"12:45";"13418-250038428";"Mi., 26.11.25";"8";""
"Mennig, Wisniewski & Konrad 970 GbR";"Di., 25.11.25 12:40";"Di., 25.11.25";"12:40";"12677-250038427";"Do., 27.11.25";"14";""
"Le Kazoku";"Di., 25.11.25 12:38";"Di., 25.11.25";"12:38";"11660-250038426";"Mi., 26.11.25";"16";""
"Röstkaffee Origins GmbH";"Di., 25.11.25 12:17";"Di., 25.11.25";"12:17";"13071-250038425";"Mi., 26.11.25";"8";""
"Betolo";"Di., 25.11.25 12:13";"Di., 25.11.25";"12:13";"13299-250038424";"Mi., 26.11.25";"5";""
"Lighthouse GmbH";"Di., 25.11.25 11:48";"Di., 25.11.25";"11:48";"13206-250038423";"Mi., 26.11.25";"12";""
"Gelbes Haus Oliver Kirschner e.K. (Klingenhofstraße)";"Di., 25.11.25 11:45";"Di., 25.11.25";"11:45";"11971-250038422";"Di., 02.12.25";"3";""
"Nachtkind";"Di., 25.11.25 11:43";"Di., 25.11.25";"11:43";"10234-250038421";"Mi., 26.11.25";"29";""
"Achilleus Men's Spa & Sauna";"Di., 25.11.25 11:43";"Di., 25.11.25";"11:43";"10235-250038420";"Mi., 26.11.25";"25";""
"Schnacken Panek Hammerbacher";"Di., 25.11.25 11:32";"Di., 25.11.25";"11:32";"10946-250038419";"Mi., 26.11.25";"2";""
"DER Stern";"Di., 25.11.25 11:20";"Di., 25.11.25";"11:20";"11799-250038418";"Mi., 26.11.25";"6";""
"mach1 Club GmbH";"Di., 25.11.25 11:06";"Di., 25.11.25";"11:06";"11593-250038417";"Sa., 20.12.25";"3";""
"Max Bögl Stiftung & Co. KG";"Di., 25.11.25 10:58";"Di., 25.11.25";"10:58";"12688-250038416";"Mi., 26.11.25";"3";""
"Frankenalb Therme Hersbruck Personal";"Di., 25.11.25 10:55";"Di., 25.11.25";"10:55";"12945-250038415";"Mi., 26.11.25";"4";""
"Frankenalb Therme Hersbruck Therme";"Di., 25.11.25 10:53";"Di., 25.11.25";"10:53";"12947-250038414";"Mi., 26.11.25";"18";""
"Emerson Renaldi";"Di., 25.11.25 10:40";"Di., 25.11.25";"10:40";"10142-250038413";"Mi., 26.11.25";"4";""
"Kunst- und Kurhaus Katana e.V.";"Di., 25.11.25 10:37";"Di., 25.11.25";"10:37";"13273-250038412";"Do., 27.11.25";"8";""
"Five-Reasons";"Di., 25.11.25 10:36";"Di., 25.11.25";"10:36";"10640-250038411";"Mi., 26.11.25";"12";""
"Thieme Compliance GmbH";"Di., 25.11.25 10:29";"Di., 25.11.25";"10:29";"12904-250038410";"Mi., 26.11.25";"2";""
"T.P.C GmbH (Restaurant Sakaya)";"Di., 25.11.25 10:23";"Di., 25.11.25";"10:23";"12565-250038409";"Mi., 26.11.25";"14";""
"Food and Work GmbH  (Season Cafe)";"Di., 25.11.25 10:15";"Di., 25.11.25";"10:15";"12977-250038408";"Mi., 26.11.25";"10";""
"Gemein und Gefährlich eGbR";"Di., 25.11.25 10:10";"Di., 25.11.25";"10:10";"13164-250038407";"Mi., 26.11.25";"14";""
"NextDoor CoffeeClub e. K.";"Di., 25.11.25 09:41";"Di., 25.11.25";"09:41";"12960-250038406";"Mi., 26.11.25";"6";""
"Sparda Bank Nürnberg eG";"Di., 25.11.25 09:39";"Di., 25.11.25";"09:39";"10890-250038405";"Mi., 26.11.25";"4";""
"Nelson";"Di., 25.11.25 09:30";"Di., 25.11.25";"09:30";"10425-250038404";"Fr., 28.11.25";"1";""
"Nelson";"Di., 25.11.25 09:28";"Di., 25.11.25";"09:28";"10425-250038403";"Fr., 28.11.25";"7";""
"Bäcker Feihl - Schweinauer Hauptstraße";"Di., 25.11.25 07:31";"Di., 25.11.25";"07:31";"13767-250038402";"Di., 02.12.25";"7";""
"Bäckerei Feihl - Filiale Nbg HBF";"Di., 25.11.25 06:06";"Di., 25.11.25";"06:06";"13759-250038401";"Mi., 26.11.25";"4";""
"Galileo GmbH & Co. KG - KU-Kd.-Nr. 2042311";"Di., 25.11.25 01:30";"Di., 25.11.25";"01:30";"12530-250038400";"Di., 25.11.25";"6";""
"Galileo GmbH & Co. KG";"Di., 25.11.25 01:29";"Di., 25.11.25";"01:29";"10022-250038399";"Di., 25.11.25";"41";""
"PPN GmbH / Restaurant NIKU";"Di., 25.11.25 01:06";"Di., 25.11.25";"01:06";"13171-250038398";"Di., 25.11.25";"21";""
"Einzimmer GmbH";"Di., 25.11.25 00:06";"Di., 25.11.25";"00:06";"14076-250038397";"Di., 25.11.25";"1";""
"Presente";"Mo., 24.11.25 23:28";"Mo., 24.11.25";"23:28";"12128-250038396";"Di., 25.11.25";"18";""
"Cocoon Restaurant Ingolstadt";"Mo., 24.11.25 23:24";"Mo., 24.11.25";"23:24";"10623-250038395";"Di., 25.11.25";"18";""
"A.L.W GmbH & Co. KG (Al Forno)";"Mo., 24.11.25 22:32";"Mo., 24.11.25";"22:32";"11419-250038394";"Mi., 26.11.25";"22";""
"Auckland Coffe & more";"Mo., 24.11.25 22:24";"Mo., 24.11.25";"22:24";"11707-250038393";"Di., 25.11.25";"1";""
"Einzimmer GmbH";"Mo., 24.11.25 22:20";"Mo., 24.11.25";"22:20";"14076-250038392";"Di., 25.11.25";"1";""
"Bit Stop Burger";"Mo., 24.11.25 22:20";"Mo., 24.11.25";"22:20";"12754-250038391";"Di., 25.11.25";"12";""
"Itaefong Food Bar";"Mo., 24.11.25 22:17";"Mo., 24.11.25";"22:17";"11897-250038390";"Di., 25.11.25";"3";""
"La Delizia";"Mo., 24.11.25 21:55";"Mo., 24.11.25";"21:55";"13074-250038389";"Di., 25.11.25";"8";""
"Spacepub e. V. St. Peter Studentenwohnheim";"Mo., 24.11.25 21:41";"Mo., 24.11.25";"21:41";"12270-250038388";"Di., 25.11.25";"11";""
"IBRA GRILL";"Mo., 24.11.25 21:40";"Mo., 24.11.25";"21:40";"13995-250038387";"Di., 25.11.25";"10";""
"El Paso";"Mo., 24.11.25 20:57";"Mo., 24.11.25";"20:57";"10311-250038386";"Mi., 26.11.25";"9";""
"Chai Roti";"Mo., 24.11.25 20:54";"Mo., 24.11.25";"20:54";"10593-250038385";"Di., 25.11.25";"12";""
"Restaurant Mylos";"Mo., 24.11.25 20:44";"Mo., 24.11.25";"20:44";"11495-250038384";"Mi., 26.11.25";"8";""
"Restaurant ComPho 1966";"Mo., 24.11.25 20:31";"Mo., 24.11.25";"20:31";"11896-250038383";"Di., 25.11.25";"10";""
"Galerie Ostermayr GmbH";"Mo., 24.11.25 20:29";"Mo., 24.11.25";"20:29";"13167-250038382";"Di., 25.11.25";"2";""
"La Empanaderia";"Mo., 24.11.25 19:51";"Mo., 24.11.25";"19:51";"12804-250038381";"Di., 25.11.25";"9";""
"Balu";"Mo., 24.11.25 19:49";"Mo., 24.11.25";"19:49";"13132-250038380";"Di., 25.11.25";"8";""
"dasPaul Restaurant & Hotel";"Mo., 24.11.25 19:37";"Mo., 24.11.25";"19:37";"10134-250038379";"Di., 25.11.25";"62";""
"Gelbes Haus Oliver Kirschner e.K. (Tafelhalle)";"Mo., 24.11.25 19:26";"Mo., 24.11.25";"19:26";"11972-250038378";"Mi., 26.11.25";"15";""
"Nachtcafé";"Mo., 24.11.25 19:06";"Mo., 24.11.25";"19:06";"10024-250038377";"Di., 25.11.25";"68";""
"Paula’s Eck";"Mo., 24.11.25 19:02";"Mo., 24.11.25";"19:02";"14084-250038376";"Di., 25.11.25";"23";""
"Holuc-Eat & Meet GmbH";"Mo., 24.11.25 18:46";"Mo., 24.11.25";"18:46";"14019-250038375";"Mi., 26.11.25";"3";""
"Nguyen & Pham GbR";"Mo., 24.11.25 18:34";"Mo., 24.11.25";"18:34";"10033-250038374";"Mi., 26.11.25";"15";""
"Galerie Ostermayr GmbH";"Mo., 24.11.25 18:20";"Mo., 24.11.25";"18:20";"13167-250038373";"Di., 25.11.25";"22";""
"Gasthaus Albrecht";"Mo., 24.11.25 18:10";"Mo., 24.11.25";"18:10";"13101-250038372";"Mi., 26.11.25";"1";""
"Diskothek Resi";"Mo., 24.11.25 18:07";"Mo., 24.11.25";"18:07";"11592-250038371";"Mi., 26.11.25";"2";""
"ZanziBar";"Mo., 24.11.25 18:06";"Mo., 24.11.25";"18:06";"12323-250038370";"Mi., 26.11.25";"9";""
"CoDung Restaurant";"Mo., 24.11.25 18:06";"Mo., 24.11.25";"18:06";"11895-250038370";"Di., 25.11.25";"11";""
"Diskothek Resi";"Mo., 24.11.25 18:03";"Mo., 24.11.25";"18:03";"11592-250038369";"Mi., 26.11.25";"17";""
"Babylon Kino am Stadtpark";"Mo., 24.11.25 17:35";"Mo., 24.11.25";"17:35";"13287-250038368";"Mi., 26.11.25";"4";""
"Babylon Kino am Stadtpark";"Mo., 24.11.25 17:33";"Mo., 24.11.25";"17:33";"13287-250038367";"Mi., 26.11.25";"21";""
"Wagaya";"Mo., 24.11.25 17:32";"Mo., 24.11.25";"17:32";"13916-250038366";"Do., 27.11.25";"25";""
"Dr. Hausser";"Mo., 24.11.25 17:20";"Mo., 24.11.25";"17:20";"13640-250038365";"Di., 25.11.25";"3";""
"Café Maulbeere CK Citykirchen gGmbH";"Mo., 24.11.25 17:15";"Mo., 24.11.25";"17:15";"13842-250038364";"Di., 25.11.25";"10";""
"The Hummus Connection";"Mo., 24.11.25 17:15";"Mo., 24.11.25";"17:15";"12572-250038364";"Di., 25.11.25";"19";""
"KORN‘S GmbH";"Mo., 24.11.25 17:01";"Mo., 24.11.25";"17:01";"13147-250038363";"Di., 25.11.25";"34";""
"Kiosk & Souvenirs";"Mo., 24.11.25 16:58";"Mo., 24.11.25";"16:58";"13688-250038362";"Di., 25.11.25";"2";""
"Kiosk & Souvenirs";"Mo., 24.11.25 16:54";"Mo., 24.11.25";"16:54";"13688-250038361";"Di., 25.11.25";"9";""
"Café FUX";"Mo., 24.11.25 16:32";"Mo., 24.11.25";"16:32";"11048-250038360";"Mi., 26.11.25";"12";""
"h&m gutberlet GmbH";"Mo., 24.11.25 16:15";"Mo., 24.11.25";"16:15";"13852-250038359";"Di., 25.11.25";"3";""
"Ringhotel Loew's Merkur";"Mo., 24.11.25 15:42";"Mo., 24.11.25";"15:42";"10901-250038358";"Di., 25.11.25";"1";""
"Machhörndl Kaffee GmbH";"Mo., 24.11.25 15:12";"Mo., 24.11.25";"15:12";"13302-250038357";"Di., 25.11.25";"9";""
"Krummbeere";"Mo., 24.11.25 15:02";"Mo., 24.11.25";"15:02";"12241-250038356";"Di., 25.11.25";"16";""
"Locanda Erlangen GmbH";"Mo., 24.11.25 14:59";"Mo., 24.11.25";"14:59";"11517-250038355";"Di., 25.11.25";"11";""
"Maximum Events GmbH / Club 199";"Mo., 24.11.25 14:56";"Mo., 24.11.25";"14:56";"13169-250038354";"Di., 25.11.25";"3";""
"Thomas Filmtheater GmbH";"Mo., 24.11.25 14:45";"Mo., 24.11.25";"14:45";"12969-250038353";"Do., 27.11.25";"26";""
"Edeka Luitpoldviertel";"Mo., 24.11.25 14:41";"Mo., 24.11.25";"14:41";"12757-250038352";"Mi., 26.11.25";"4";""
"Zollamt Flughafen Belegschaft";"Mo., 24.11.25 14:40";"Mo., 24.11.25";"14:40";"10896-250038351";"Di., 25.11.25";"8";""
"Steinplatte Fine Dining GmbH";"Mo., 24.11.25 14:30";"Mo., 24.11.25";"14:30";"13351-250038350";"Di., 25.11.25";"1";""
"Einzimmer GmbH";"Mo., 24.11.25 14:13";"Mo., 24.11.25";"14:13";"14076-250038349";"Di., 25.11.25";"9";""
"Ingeneers CaR GmbH";"Mo., 24.11.25 13:52";"Mo., 24.11.25";"13:52";"13603-250038348";"Di., 25.11.25";"6";""
"Kulturverein rote Bühne e. V.";"Mo., 24.11.25 13:39";"Mo., 24.11.25";"13:39";"10599-250038347";"Mi., 26.11.25";"23";""
"Hiro Ramen";"Mo., 24.11.25 13:31";"Mo., 24.11.25";"13:31";"12781-250038346";"Di., 25.11.25";"8";""
"CurryWoschdHaus - Das Original";"Mo., 24.11.25 13:28";"Mo., 24.11.25";"13:28";"12663-250038345";"Mi., 26.11.25";"5";""
"Okonomi";"Mo., 24.11.25 13:25";"Mo., 24.11.25";"13:25";"12162-250038344";"Mi., 26.11.25";"19";""
"Ringhotel Loew's Merkur";"Mo., 24.11.25 13:23";"Mo., 24.11.25";"13:23";"10901-250038343";"Di., 25.11.25";"13";""
"HAUS 33 Entertainment GmbH";"Mo., 24.11.25 13:23";"Mo., 24.11.25";"13:23";"12703-250038343";"Fr., 28.11.25";"1";""
"Lu & Lu Food Café Bar";"Mo., 24.11.25 13:19";"Mo., 24.11.25";"13:19";"12555-250038342";"Di., 25.11.25";"6";""
"24 sieben Shop Innere Laufe Gasse 14/16";"Mo., 24.11.25 13:13";"Mo., 24.11.25";"13:13";"12042-250038341";"Di., 25.11.25";"2";""
"Monte Bar";"Mo., 24.11.25 13:10";"Mo., 24.11.25";"13:10";"12711-250038340";"Do., 27.11.25";"19";""
"Kloster";"Mo., 24.11.25 12:43";"Mo., 24.11.25";"12:43";"10074-250038339";"Di., 25.11.25";"14";""
"TX Sports";"Mo., 24.11.25 12:41";"Mo., 24.11.25";"12:41";"12595-250038338";"Di., 25.11.25";"11";""
"Candy Werkstatt Am Plärrer";"Mo., 24.11.25 12:39";"Mo., 24.11.25";"12:39";"13063-250038337";"Di., 25.11.25";"4";""
"Restaurant San Remo";"Mo., 24.11.25 12:38";"Mo., 24.11.25";"12:38";"12134-250038336";"Di., 25.11.25";"6";""
"Bäcker Feihl -  Schwabacher Straße 19";"Mo., 24.11.25 12:31";"Mo., 24.11.25";"12:31";"13768-250038335";"Mi., 26.11.25";"9";""
"WON";"Mo., 24.11.25 12:29";"Mo., 24.11.25";"12:29";"10554-250038334";"Mi., 26.11.25";"17";""
"THE GREEN Rooftop Café";"Mo., 24.11.25 12:26";"Mo., 24.11.25";"12:26";"12046-250038333";"Di., 25.11.25";"16";""
"Steinplatte Fine Dining GmbH";"Mo., 24.11.25 12:14";"Mo., 24.11.25";"12:14";"13351-250038332";"Di., 25.11.25";"36";""
"24 sieben Shop Dr. Kurt-Schuhmacher-Str. 13";"Mo., 24.11.25 12:01";"Mo., 24.11.25";"12:01";"12243-250038331";"Di., 25.11.25";"3";""
"XIN MOI";"Mo., 24.11.25 11:44";"Mo., 24.11.25";"11:44";"13350-250038330";"Di., 25.11.25";"5";""
"Volvo Penta Central Europe GmbH";"Mo., 24.11.25 11:43";"Mo., 24.11.25";"11:43";"13810-250038329";"Di., 25.11.25";"5";""
"Euro-Schulen Nordbayern GmbH";"Mo., 24.11.25 11:29";"Mo., 24.11.25";"11:29";"13928-250038328";"Do., 27.11.25";"5";""
"Pizza Rossa Langwasser";"Mo., 24.11.25 11:27";"Mo., 24.11.25";"11:27";"12588-250038327";"Di., 25.11.25";"15";""
"Ricchi e Poveri";"Mo., 24.11.25 11:25";"Mo., 24.11.25";"11:25";"12808-250038326";"Di., 25.11.25";"6";""
"Bäcker Feihl -  Nürnberger Straße";"Mo., 24.11.25 11:20";"Mo., 24.11.25";"11:20";"13783-250038325";"Do., 27.11.25";"1";""
"Kreisjugendring Nürnberg-Stadt";"Mo., 24.11.25 11:16";"Mo., 24.11.25";"11:16";"10857-250038324";"Di., 25.11.25";"15";""
"Holy Rolly";"Mo., 24.11.25 11:16";"Mo., 24.11.25";"11:16";"13960-250038323";"Mi., 26.11.25";"1";""
"KoKoNo GmbH";"Mo., 24.11.25 10:56";"Mo., 24.11.25";"10:56";"10689-250038322";"Di., 25.11.25";"3";""
"Goldener Pudel";"Mo., 24.11.25 10:54";"Mo., 24.11.25";"10:54";"10003-250038321";"Di., 25.11.25";"8";""
"Soccer Halle Nürnberg GmbH ( KICKFABRIK )";"Mo., 24.11.25 10:21";"Mo., 24.11.25";"10:21";"12733-250038320";"Di., 25.11.25";"19";""
"Gasthaus Hempels Erlangen";"Mo., 24.11.25 10:15";"Mo., 24.11.25";"10:15";"13257-250038319";"Mi., 26.11.25";"13";""
"Koala GmbH";"Mo., 24.11.25 10:10";"Mo., 24.11.25";"10:10";"13824-250038318";"Di., 25.11.25";"10";""
"Die Rosi";"Mo., 24.11.25 10:09";"Mo., 24.11.25";"10:09";"12906-250038317";"Di., 25.11.25";"30";""
"Ristorante L‘Amore da Massimo";"Mo., 24.11.25 09:58";"Mo., 24.11.25";"09:58";"12384-250038316";"Di., 25.11.25";"14";""
"Küspert & Küspert";"Mo., 24.11.25 09:36";"Mo., 24.11.25";"09:36";"13381-250038315";"Di., 25.11.25";"2";""
"Restaurant Riverside";"Mo., 24.11.25 09:31";"Mo., 24.11.25";"09:31";"10585-250038314";"Di., 25.11.25";"12";""
"Monki Ramen";"Mo., 24.11.25 09:09";"Mo., 24.11.25";"09:09";"11508-250038313";"Di., 25.11.25";"15";""
"Freiraum für Fankultur e.V., c/o Christian Gebhardt";"Mo., 24.11.25 09:08";"Mo., 24.11.25";"09:08";"11023-250038312";"Mi., 26.11.25";"5";""
"24 sieben Shop Luitpoldstraße 10";"Mo., 24.11.25 09:04";"Mo., 24.11.25";"09:04";"12481-250038311";"Di., 25.11.25";"4";""
"Bäcker Feihl -  Dammstraße 1";"Mo., 24.11.25 08:47";"Mo., 24.11.25";"08:47";"13777-250038310";"Do., 27.11.25";"5";""
"Frank Walther / Cobra Club";"Mo., 24.11.25 08:44";"Mo., 24.11.25";"08:44";"10054-250038309";"Di., 25.11.25";"22";""
"Stadt Nürnberg Amt für Geoinformation";"Mo., 24.11.25 08:13";"Mo., 24.11.25";"08:13";"11794-250038308";"Do., 27.11.25";"5";""
"Holy Rolly";"Mo., 24.11.25 08:12";"Mo., 24.11.25";"08:12";"13960-250038307";"Mi., 26.11.25";"7";""
"24 sieben Shop Wölckernstraße 82";"Mo., 24.11.25 08:10";"Mo., 24.11.25";"08:10";"12242-250038306";"Di., 25.11.25";"2";""
"Diehl Assekuranz Rückversich-";"Mo., 24.11.25 07:33";"Mo., 24.11.25";"07:33";"10898-250038305";"Di., 25.11.25";"2";""
"Schimanski Event GmbH";"Mo., 24.11.25 07:19";"Mo., 24.11.25";"07:19";"13925-250038304";"Di., 25.11.25";"1";""
"Schimanski Event GmbH";"Mo., 24.11.25 07:17";"Mo., 24.11.25";"07:17";"13925-250038303";"Mi., 26.11.25";"22";""
"Haltestelle Hering";"Mo., 24.11.25 07:02";"Mo., 24.11.25";"07:02";"10341-250038302";"Di., 25.11.25";"16";""
"Premier Inn Opernhaus";"Mo., 24.11.25 04:11";"Mo., 24.11.25";"04:11";"11680-250038301";"Mo., 24.11.25";"14";""
"D-One Shisha Lounge";"Mo., 24.11.25 04:09";"Mo., 24.11.25";"04:09";"10977-250038300";"Mo., 24.11.25";"20";""
"Schwarzlichtfabrik 3D Minigolf";"Mo., 24.11.25 04:09";"Mo., 24.11.25";"04:09";"13251-250038300";"Di., 25.11.25";"11";""
"Nadine Rodler";"Mo., 24.11.25 04:07";"Mo., 24.11.25";"04:07";"13563-250038299";"Di., 25.11.25";"10";""
"Tam Tam Ingolstadt GmbH";"Mo., 24.11.25 03:40";"Mo., 24.11.25";"03:40";"12049-250038298";"Di., 25.11.25";"1";""
"Tam Tam Ingolstadt GmbH";"Mo., 24.11.25 03:39";"Mo., 24.11.25";"03:39";"12049-250038297";"Di., 25.11.25";"69";""
"Maro Entertainment GmbH (Blu Bowl)";"So., 23.11.25 23:51";"So., 23.11.25";"23:51";"12204-250038296";"Mo., 24.11.25";"13";""
"Gate 23 GmbH";"So., 23.11.25 23:43";"So., 23.11.25";"23:43";"12738-250038295";"Mo., 24.11.25";"29";""
"HOY Hospitality GmbH";"So., 23.11.25 23:32";"So., 23.11.25";"23:32";"13926-250038294";"Mo., 24.11.25";"8";""
"Altstädter Schießhaus GmbH";"So., 23.11.25 23:16";"So., 23.11.25";"23:16";"12427-250038293";"Mo., 24.11.25";"15";""
"Original Berliner Döner Erlangen";"So., 23.11.25 23:05";"So., 23.11.25";"23:05";"12330-250038292";"Mo., 24.11.25";"4";""
"Original Berliner Döner";"So., 23.11.25 23:03";"So., 23.11.25";"23:03";"12058-250038291";"Mo., 24.11.25";"5";""
"Burgerheart Nürnberg GmbH";"So., 23.11.25 23:01";"So., 23.11.25";"23:01";"11177-250038290";"Mo., 24.11.25";"27";""
"Die Rakete Gastro GmbH";"So., 23.11.25 22:39";"So., 23.11.25";"22:39";"11864-250038289";"Mi., 26.11.25";"31";""
"Holuc-Eat & Meet GmbH";"So., 23.11.25 22:22";"So., 23.11.25";"22:22";"14019-250038288";"Mo., 24.11.25";"19";""
"Restaurant La Vita, Fabio Galizia";"So., 23.11.25 21:59";"So., 23.11.25";"21:59";"11985-250038287";"Mo., 24.11.25";"2";""
"Café Retiro";"So., 23.11.25 21:57";"So., 23.11.25";"21:57";"13621-250038286";"Mo., 24.11.25";"12";""
"BurgerBar Kuhmuhne GmbH";"So., 23.11.25 21:55";"So., 23.11.25";"21:55";"11360-250038285";"Mo., 24.11.25";"26";""
"Litzbarski Gastronomiebetriebe GmbH";"So., 23.11.25 21:48";"So., 23.11.25";"21:48";"13992-250038284";"Mo., 24.11.25";"6";""
"hungry Food & Drink Veitsbronn";"So., 23.11.25 21:46";"So., 23.11.25";"21:46";"12795-250038283";"Mo., 24.11.25";"20";""
"Cosy Fine Asian Cuisine & Sushi Bar";"So., 23.11.25 21:21";"So., 23.11.25";"21:21";"12103-250038282";"Mo., 24.11.25";"13";""
"Restaurant Café Bar L’incontro";"So., 23.11.25 21:06";"So., 23.11.25";"21:06";"12522-250038281";"Mo., 24.11.25";"11";""
"KOKORO";"So., 23.11.25 21:00";"So., 23.11.25";"21:00";"10278-250038280";"Mo., 24.11.25";"8";""
"Mitte Soundbar";"So., 23.11.25 20:44";"So., 23.11.25";"20:44";"12000-250038279";"Mo., 24.11.25";"24";""
"Hiro Sakao GmbH Amberg";"So., 23.11.25 20:42";"So., 23.11.25";"20:42";"13595-250038278";"Di., 25.11.25";"3";""
"Hiro Sakao GmbH Amberg";"So., 23.11.25 20:41";"So., 23.11.25";"20:41";"13595-250038277";"Di., 25.11.25";"23";""
"Goldener Stern";"So., 23.11.25 20:32";"So., 23.11.25";"20:32";"13053-250038276";"Mo., 24.11.25";"11";""
"JINH GmbH";"So., 23.11.25 20:28";"So., 23.11.25";"20:28";"12272-250038275";"Mo., 24.11.25";"26";""
"Little Hiro";"So., 23.11.25 20:24";"So., 23.11.25";"20:24";"10728-250038274";"Mo., 24.11.25";"5";""
"Pho Nürnberg";"So., 23.11.25 20:24";"So., 23.11.25";"20:24";"11804-250038273";"Di., 25.11.25";"16";""
"HENRII Gastronomie GmbH";"So., 23.11.25 20:20";"So., 23.11.25";"20:20";"11212-250038272";"Mo., 24.11.25";"15";""
"MODO MIO da maurizio";"So., 23.11.25 20:15";"So., 23.11.25";"20:15";"11050-250038271";"Di., 25.11.25";"10";""
"Da Gallo Restaurant";"So., 23.11.25 19:52";"So., 23.11.25";"19:52";"13064-250038270";"Mo., 24.11.25";"3";""
"Brio Bar & Restaurant";"So., 23.11.25 19:51";"So., 23.11.25";"19:51";"13742-250038269";"Mo., 24.11.25";"24";""
"Arizona Erlangen GmbH & Co. KG - KU-Kd.-Nr. 2005113";"So., 23.11.25 19:09";"So., 23.11.25";"19:09";"12531-250038268";"Di., 25.11.25";"10";""
"Arizona Erlangen GmbH & Co. KG";"So., 23.11.25 19:07";"So., 23.11.25";"19:07";"10023-250038267";"Di., 25.11.25";"19";""
"SIHA Restaurant";"So., 23.11.25 19:00";"So., 23.11.25";"19:00";"13023-250038266";"Di., 25.11.25";"19";""
"Original Berliner Döner Fürth";"So., 23.11.25 18:50";"So., 23.11.25";"18:50";"14030-250038265";"Mo., 24.11.25";"7";""
"Josephs GmbH";"So., 23.11.25 18:23";"So., 23.11.25";"18:23";"13348-250038264";"Di., 25.11.25";"7";""
"Hotel Drei Raben Garni GmbH";"So., 23.11.25 17:56";"So., 23.11.25";"17:56";"10513-250038263";"Mo., 24.11.25";"11";""
"Bayraktar Sibel (Café S)";"So., 23.11.25 17:18";"So., 23.11.25";"17:18";"12528-250038262";"Mo., 24.11.25";"11";""
