"Kunde";"Bestelldatum";"Bestelldatum_Roh";"Bestellzeit";"Bestellnummer";"Zustelldatum";"Bestellübersicht";"Interne Tags"
"Holy Greek GmbH";"Di., 11.11.25 18:16";"Di., 11.11.25";"18:16";"13660-250037426";"Mi., 12.11.25";"4";""
"Holy Monk";"Di., 11.11.25 18:13";"Di., 11.11.25";"18:13";"10340-250037425";"Mi., 12.11.25";"16";""
"Gasthaus Hempels Nürnberg";"Di., 11.11.25 17:31";"Di., 11.11.25";"17:31";"13256-250037424";"Mi., 12.11.25";"17";""
"Café Prinz";"Di., 11.11.25 17:04";"Di., 11.11.25";"17:04";"10315-250037423";"Mi., 12.11.25";"22";""
"Holuc-Eat & Meet GmbH";"Di., 11.11.25 16:48";"Di., 11.11.25";"16:48";"14019-250037422";"Mi., 12.11.25";"9";""
"Zeit & Raum";"Di., 11.11.25 16:16";"Di., 11.11.25";"16:16";"10096-250037421";"Do., 13.11.25";"5";""
"Kirchenstiftung Allerheiligen";"Di., 11.11.25 16:07";"Di., 11.11.25";"16:07";"13525-250037420";"Fr., 14.11.25";"3";""
"GMN Paul Müller Industrie GmbH & Co. KG";"Di., 11.11.25 16:07";"Di., 11.11.25";"16:07";"13461-250037420";"Mi., 12.11.25";"5";""
"Haus am See GbR";"Di., 11.11.25 15:53";"Di., 11.11.25";"15:53";"12533-250037419";"Mi., 12.11.25";"6";""
"Moonee GmbH";"Di., 11.11.25 15:39";"Di., 11.11.25";"15:39";"11648-250037418";"Mi., 12.11.25";"13";""
"ETG Kurzschluss e. V.";"Di., 11.11.25 15:29";"Di., 11.11.25";"15:29";"12636-250037417";"Do., 20.11.25";"22";""
"Quadra Ingenieure GmbH";"Di., 11.11.25 15:17";"Di., 11.11.25";"15:17";"10974-250037416";"Mi., 12.11.25";"13";""
"Lascala Restaurant";"Di., 11.11.25 14:51";"Di., 11.11.25";"14:51";"12507-250037415";"Mi., 12.11.25";"15";""
"STULLEREI";"Di., 11.11.25 14:45";"Di., 11.11.25";"14:45";"13199-250037414";"Mi., 12.11.25";"7";""
"Schuler GmbH";"Di., 11.11.25 14:37";"Di., 11.11.25";"14:37";"11500-250037413";"Mi., 12.11.25";"37";""
"Mennig, Wisniewski & Konrad 970 GbR";"Di., 11.11.25 14:34";"Di., 11.11.25";"14:34";"12677-250037412";"Do., 13.11.25";"13";""
"Bündnis 90 Die Grünen";"Di., 11.11.25 14:13";"Di., 11.11.25";"14:13";"13555-250037411";"Do., 13.11.25";"9";""
"Avenon Privat-Hotel am Steinberg";"Di., 11.11.25 14:07";"Di., 11.11.25";"14:07";"12419-250037410";"Mo., 17.11.25";"10";""
"Barcode Trend GmbH, dieroteBar";"Di., 11.11.25 14:03";"Di., 11.11.25";"14:03";"13180-250037409";"Mi., 12.11.25";"44";""
"Campus M21 GmbH";"Di., 11.11.25 13:46";"Di., 11.11.25";"13:46";"13416-250037408";"Do., 13.11.25";"5";""
"Monte Bar";"Di., 11.11.25 13:38";"Di., 11.11.25";"13:38";"12711-250037407";"Do., 13.11.25";"9";""
"Cafe Bar Habana";"Di., 11.11.25 13:37";"Di., 11.11.25";"13:37";"10855-250037406";"Mi., 12.11.25";"1";""
"Cafe Bar Habana";"Di., 11.11.25 13:37";"Di., 11.11.25";"13:37";"10855-250037405";"Mi., 12.11.25";"12";""
"Bäcker Feihl -  Berchinger Straße 30";"Di., 11.11.25 13:28";"Di., 11.11.25";"13:28";"13776-250037404";"Do., 13.11.25";"5";""
"Cafe Sport Bavaria";"Di., 11.11.25 13:26";"Di., 11.11.25";"13:26";"13354-250037403";"Mi., 12.11.25";"4";""
"Kreisjugendring Nürnberg-Stadt";"Di., 11.11.25 13:20";"Di., 11.11.25";"13:20";"10857-250037402";"Mi., 12.11.25";"7";""
"Evosys Laser GmbH";"Di., 11.11.25 13:20";"Di., 11.11.25";"13:20";"13232-250037401";"Do., 13.11.25";"6";""
"El Nopal";"Di., 11.11.25 12:56";"Di., 11.11.25";"12:56";"13637-250037400";"Do., 13.11.25";"11";""
"Trevisto GmbH";"Di., 11.11.25 12:52";"Di., 11.11.25";"12:52";"13958-250037399";"Mi., 12.11.25";"9";""
"DUGFEM GmbH";"Di., 11.11.25 12:50";"Di., 11.11.25";"12:50";"12304-250037398";"Mo., 17.11.25";"7";""
"WTS Wirtschaftstreuhand GmbH";"Di., 11.11.25 12:26";"Di., 11.11.25";"12:26";"11988-250037397";"Mi., 12.11.25";"4";""
"Adina";"Di., 11.11.25 12:22";"Di., 11.11.25";"12:22";"10339-250037396";"Do., 13.11.25";"13";""
"Adina";"Di., 11.11.25 12:21";"Di., 11.11.25";"12:21";"10339-250037395";"Do., 13.11.25";"1";""
"Nachtkind";"Di., 11.11.25 12:21";"Di., 11.11.25";"12:21";"10234-250037394";"Mi., 12.11.25";"25";""
"bubeundkönig GmbH";"Di., 11.11.25 12:19";"Di., 11.11.25";"12:19";"11245-250037393";"Mi., 12.11.25";"4";""
"Bäckerei Feihl - Filiale Nbg HBF";"Di., 11.11.25 12:09";"Di., 11.11.25";"12:09";"13759-250037392";"Mi., 12.11.25";"4";""
"ETG Kurzschluss e. V.";"Di., 11.11.25 12:08";"Di., 11.11.25";"12:08";"12636-250037391";"Mo., 17.11.25";"13";""
"Ristorante Quo Vadis";"Di., 11.11.25 11:55";"Di., 11.11.25";"11:55";"10581-250037390";"Mi., 12.11.25";"2";""
"Gateway Cargo Systems Nürnberg";"Di., 11.11.25 11:45";"Di., 11.11.25";"11:45";"11000-250037389";"Mi., 12.11.25";"3";""
"Fun Of Europe Handels GmbH";"Di., 11.11.25 11:30";"Di., 11.11.25";"11:30";"12041-250037388";"Do., 13.11.25";"5";""
"Gaststätte Park Central";"Di., 11.11.25 11:29";"Di., 11.11.25";"11:29";"10387-250037387";"Mi., 12.11.25";"7";""
"Thomas Wolkersdorfer";"Di., 11.11.25 11:27";"Di., 11.11.25";"11:27";"13065-250037386";"Mi., 12.11.25";"1";""
"Wort & Geist - Stiftung";"Di., 11.11.25 11:21";"Di., 11.11.25";"11:21";"13495-250037385";"Mi., 12.11.25";"1";""
"Optik Schlemmer GmbH & Co. KG";"Di., 11.11.25 11:18";"Di., 11.11.25";"11:18";"12714-250037384";"Mi., 12.11.25";"4";""
"Ristorante Quo Vadis";"Di., 11.11.25 11:09";"Di., 11.11.25";"11:09";"10581-250037383";"Mi., 12.11.25";"7";""
"Beim Almosmüller";"Di., 11.11.25 10:40";"Di., 11.11.25";"10:40";"11488-250037382";"Mi., 12.11.25";"8";""
"Hitachi Solutions Germany GmbH";"Di., 11.11.25 10:35";"Di., 11.11.25";"10:35";"13331-250037381";"Mi., 12.11.25";"6";""
"Donautherme Ingolstadt";"Di., 11.11.25 10:32";"Di., 11.11.25";"10:32";"12364-250037380";"Do., 13.11.25";"6";""
"LP Konzept GmbH (Bliss)";"Di., 11.11.25 10:31";"Di., 11.11.25";"10:31";"14010-250037379";"Mi., 12.11.25";"17";""
"SportdocsFranken";"Di., 11.11.25 10:23";"Di., 11.11.25";"10:23";"12828-250037378";"Mi., 12.11.25";"9";""
"Caffee People";"Di., 11.11.25 10:11";"Di., 11.11.25";"10:11";"14018-250037377";"Do., 13.11.25";"10";""
"Schimanski Event GmbH";"Di., 11.11.25 10:04";"Di., 11.11.25";"10:04";"13925-250037376";"Mi., 12.11.25";"1";""
"iovos Steuerberatungsgesellsch";"Di., 11.11.25 09:29";"Di., 11.11.25";"09:29";"10867-250037375";"Mi., 12.11.25";"3";""
"POSSEHL Spezialbau GmbH";"Di., 11.11.25 08:53";"Di., 11.11.25";"08:53";"12558-250037374";"Mi., 12.11.25";"3";""
"Butlers";"Di., 11.11.25 08:22";"Di., 11.11.25";"08:22";"11484-250037373";"Mi., 12.11.25";"3";""
"N-ERGIE Uhrenhaus";"Di., 11.11.25 08:21";"Di., 11.11.25";"08:21";"11575-250037372";"Mi., 12.11.25";"16";""
"raumwerk23 | Gesellschaft für";"Di., 11.11.25 08:18";"Di., 11.11.25";"08:18";"11179-250037371";"Mi., 12.11.25";"3";""
"Keepers and Cooks GmbH Kommissionsware";"Di., 11.11.25 07:40";"Di., 11.11.25";"07:40";"11607-250037370";"Di., 11.11.25";"9";""
"Carbyte GmbH";"Di., 11.11.25 03:45";"Di., 11.11.25";"03:45";"13490-250037369";"Di., 11.11.25";"1";""
"Brio Bar & Restaurant";"Di., 11.11.25 03:07";"Di., 11.11.25";"03:07";"13742-250037368";"Mi., 12.11.25";"37";""
"Lübbis Essen & Trinken";"Di., 11.11.25 00:51";"Di., 11.11.25";"00:51";"11569-250037367";"Mi., 12.11.25";"8";""
"Galileo GmbH & Co. KG";"Di., 11.11.25 00:34";"Di., 11.11.25";"00:34";"10022-250037366";"Di., 11.11.25";"51";""
"Galileo GmbH & Co. KG - KU-Kd.-Nr. 2042311";"Di., 11.11.25 00:17";"Di., 11.11.25";"00:17";"12530-250037365";"Di., 11.11.25";"5";""
"Presente";"Mo., 10.11.25 23:21";"Mo., 10.11.25";"23:21";"12128-250037364";"Di., 11.11.25";"14";""
"ALE ORA Roth";"Mo., 10.11.25 23:17";"Mo., 10.11.25";"23:17";"12833-250037363";"Mi., 12.11.25";"18";""
"La Empanaderia";"Mo., 10.11.25 23:02";"Mo., 10.11.25";"23:02";"12804-250037362";"Di., 11.11.25";"8";""
"La Delizia";"Mo., 10.11.25 22:27";"Mo., 10.11.25";"22:27";"13074-250037361";"Di., 11.11.25";"5";""
"Galerie Ostermayr GmbH";"Mo., 10.11.25 22:06";"Mo., 10.11.25";"22:06";"13167-250037360";"Di., 11.11.25";"25";""
"JINH GmbH";"Mo., 10.11.25 22:02";"Mo., 10.11.25";"22:02";"12272-250037359";"Di., 11.11.25";"9";""
"Restaurant Mylos";"Mo., 10.11.25 22:02";"Mo., 10.11.25";"22:02";"11495-250037358";"Mi., 12.11.25";"8";""
"Restaurant ComPho 1966";"Mo., 10.11.25 21:39";"Mo., 10.11.25";"21:39";"11896-250037357";"Di., 11.11.25";"9";""
"The Hummus Connection";"Mo., 10.11.25 21:37";"Mo., 10.11.25";"21:37";"12572-250037356";"Di., 11.11.25";"6";""
"CoDung Restaurant";"Mo., 10.11.25 21:25";"Mo., 10.11.25";"21:25";"11895-250037355";"Di., 11.11.25";"17";""
"T.P.C GmbH (Restaurant Sakaya)";"Mo., 10.11.25 21:23";"Mo., 10.11.25";"21:23";"12565-250037354";"Di., 11.11.25";"12";""
"Einzimmer Küche Bar";"Mo., 10.11.25 21:07";"Mo., 10.11.25";"21:07";"10019-250037353";"Di., 11.11.25";"1";""
"Einzimmer Küche Bar";"Mo., 10.11.25 20:56";"Mo., 10.11.25";"20:56";"10019-250037352";"Di., 11.11.25";"7";""
"Burgerist";"Mo., 10.11.25 20:42";"Mo., 10.11.25";"20:42";"14033-250037351";"Mi., 12.11.25";"6";""
"Bayraktar Sibel (Café S)";"Mo., 10.11.25 20:23";"Mo., 10.11.25";"20:23";"12528-250037350";"Di., 11.11.25";"7";""
"Kater Murr - Café & Kneipe";"Mo., 10.11.25 20:14";"Mo., 10.11.25";"20:14";"13085-250037349";"Di., 11.11.25";"12";""
"Die Box Club GmbH";"Mo., 10.11.25 19:51";"Mo., 10.11.25";"19:51";"12722-250037348";"Mi., 12.11.25";"9";""
"Vice City";"Mo., 10.11.25 19:48";"Mo., 10.11.25";"19:48";"13962-250037347";"Di., 11.11.25";"13";""
"Toshi Sushi GmbH";"Mo., 10.11.25 19:33";"Mo., 10.11.25";"19:33";"12591-250037346";"Di., 11.11.25";"10";""
"Nguyen & Pham GbR";"Mo., 10.11.25 19:32";"Mo., 10.11.25";"19:32";"10033-250037345";"Mi., 12.11.25";"14";""
"Ringhotel Loew's Merkur";"Mo., 10.11.25 19:15";"Mo., 10.11.25";"19:15";"10901-250037344";"Di., 11.11.25";"11";""
"Super Smash Burger";"Mo., 10.11.25 19:04";"Mo., 10.11.25";"19:04";"13833-250037343";"Di., 11.11.25";"14";""
"ZanziBar";"Mo., 10.11.25 19:01";"Mo., 10.11.25";"19:01";"12323-250037342";"Mi., 12.11.25";"9";""
"Thomas Filmtheater GmbH";"Mo., 10.11.25 18:54";"Mo., 10.11.25";"18:54";"12969-250037341";"Do., 13.11.25";"3";""
"Thomas Filmtheater GmbH";"Mo., 10.11.25 18:32";"Mo., 10.11.25";"18:32";"12969-250037340";"Do., 13.11.25";"2";""
"Arizona Forchheim GmbH & Co.KG";"Mo., 10.11.25 18:23";"Mo., 10.11.25";"18:23";"10025-250037339";"Mi., 12.11.25";"1";""
"Chai Roti";"Mo., 10.11.25 18:17";"Mo., 10.11.25";"18:17";"10593-250037338";"Di., 11.11.25";"7";""
"Zeitungscafé";"Mo., 10.11.25 18:04";"Mo., 10.11.25";"18:04";"13107-250037337";"Di., 11.11.25";"11";""
"Goldener Stern";"Mo., 10.11.25 17:35";"Mo., 10.11.25";"17:35";"13053-250037336";"Mo., 17.11.25";"6";""
"Lindenhof Resort & Events GmbH";"Mo., 10.11.25 17:16";"Mo., 10.11.25";"17:16";"10363-250037335";"Mi., 12.11.25";"12";""
"CoCo Sushi & Lounge";"Mo., 10.11.25 16:58";"Mo., 10.11.25";"16:58";"11643-250037334";"Mi., 12.11.25";"24";""
"adesso SE";"Mo., 10.11.25 16:53";"Mo., 10.11.25";"16:53";"13204-250037333";"Di., 11.11.25";"4";""
"Café Bleiweiß";"Mo., 10.11.25 16:51";"Mo., 10.11.25";"16:51";"12848-250037332";"Di., 11.11.25";"13";""
"Diskothek Resi";"Mo., 10.11.25 16:40";"Mo., 10.11.25";"16:40";"11592-250037331";"Mi., 12.11.25";"9";""
"Locanda Erlangen GmbH";"Mo., 10.11.25 16:40";"Mo., 10.11.25";"16:40";"11517-250037330";"Di., 11.11.25";"5";""
"Haltestelle Hering";"Mo., 10.11.25 16:29";"Mo., 10.11.25";"16:29";"10341-250037329";"Di., 11.11.25";"17";""
"A.K.N. e.V.";"Mo., 10.11.25 16:16";"Mo., 10.11.25";"16:16";"13378-250037328";"Di., 11.11.25";"14";""
"DACHSER SE";"Mo., 10.11.25 16:06";"Mo., 10.11.25";"16:06";"13249-250037327";"Mi., 12.11.25";"3";""
"Only";"Mo., 10.11.25 16:00";"Mo., 10.11.25";"16:00";"10642-250037326";"Di., 11.11.25";"23";""
"dasPaul Restaurant & Hotel";"Mo., 10.11.25 15:56";"Mo., 10.11.25";"15:56";"10134-250037325";"Di., 11.11.25";"53";""
"Bruderherz GmbH";"Mo., 10.11.25 15:42";"Mo., 10.11.25";"15:42";"10767-250037324";"Di., 11.11.25";"17";""
"DER Stern";"Mo., 10.11.25 15:37";"Mo., 10.11.25";"15:37";"11799-250037323";"Mi., 12.11.25";"6";""
"Keepers and Cooks GmbH - Event außer Haus";"Mo., 10.11.25 15:24";"Mo., 10.11.25";"15:24";"10284-250037322";"Mi., 12.11.25";"8";""
"arano group GmbH";"Mo., 10.11.25 15:24";"Mo., 10.11.25";"15:24";"11705-250037321";"Di., 11.11.25";"4";""
"arano group GmbH";"Mo., 10.11.25 15:23";"Mo., 10.11.25";"15:23";"11705-250037320";"Di., 11.11.25";"6";""
"arano group GmbH";"Mo., 10.11.25 15:21";"Mo., 10.11.25";"15:21";"11705-250037319";"Di., 11.11.25";"6";""
"arano group GmbH";"Mo., 10.11.25 15:20";"Mo., 10.11.25";"15:20";"11705-250037318";"Di., 11.11.25";"6";""
"Achilleus Men's Spa & Sauna";"Mo., 10.11.25 15:08";"Mo., 10.11.25";"15:08";"10235-250037317";"Do., 13.11.25";"22";""
"Portamis Software GmbH";"Mo., 10.11.25 15:04";"Mo., 10.11.25";"15:04";"13451-250037316";"Mi., 12.11.25";"2";""
"CuraMed-Tagesklinik Nürnberg";"Mo., 10.11.25 15:03";"Mo., 10.11.25";"15:03";"12877-250037315";"Di., 11.11.25";"4";""
"Naumann GmbH";"Mo., 10.11.25 14:47";"Mo., 10.11.25";"14:47";"13836-250037314";"Di., 18.11.25";"2";""
"Hiro Sakao GmbH Amberg";"Mo., 10.11.25 14:36";"Mo., 10.11.25";"14:36";"13595-250037313";"Di., 11.11.25";"25";""
"Babylon Kino am Stadtpark";"Mo., 10.11.25 14:33";"Mo., 10.11.25";"14:33";"13287-250037312";"Do., 13.11.25";"23";""
"China Restaurant ASIA HOUSE";"Mo., 10.11.25 14:32";"Mo., 10.11.25";"14:32";"10884-250037311";"Mi., 12.11.25";"13";""
"Altstädter Schießhaus GmbH";"Mo., 10.11.25 14:25";"Mo., 10.11.25";"14:25";"12427-250037310";"Di., 11.11.25";"17";""
"Die Rosi";"Mo., 10.11.25 14:14";"Mo., 10.11.25";"14:14";"12906-250037309";"Di., 11.11.25";"23";""
"Seniorenheim Caritas-Pirckheim Ingeborg Reißinger";"Mo., 10.11.25 14:01";"Mo., 10.11.25";"14:01";"13804-250037308";"Di., 11.11.25";"1";""
"Kiosk am Zollhaus";"Mo., 10.11.25 14:00";"Mo., 10.11.25";"14:00";"13162-250037307";"Di., 11.11.25";"5";""
"Gasthaus Albrecht";"Mo., 10.11.25 13:49";"Mo., 10.11.25";"13:49";"13101-250037306";"Mi., 12.11.25";"5";""
"Auto-Scholz GmbH & Co. KG";"Mo., 10.11.25 13:46";"Mo., 10.11.25";"13:46";"13694-250037305";"Di., 11.11.25";"3";""
"Carl Sellentin";"Mo., 10.11.25 13:46";"Mo., 10.11.25";"13:46";"13914-250037304";"Mi., 12.11.25";"3";""
"Suse Software Solutions Germany";"Mo., 10.11.25 13:33";"Mo., 10.11.25";"13:33";"11842-250037303";"Di., 11.11.25";"4";""
"Peter Gross Hochbau GmbH & Co. KG";"Mo., 10.11.25 13:31";"Mo., 10.11.25";"13:31";"13106-250037302";"Do., 13.11.25";"3";""
"Kulturverein rote Bühne e. V.";"Mo., 10.11.25 13:26";"Mo., 10.11.25";"13:26";"10599-250037301";"Mi., 12.11.25";"22";""
"Retro Café Kuchenstolz";"Mo., 10.11.25 13:22";"Mo., 10.11.25";"13:22";"10077-250037300";"Do., 13.11.25";"16";""
"Aura Schwabach";"Mo., 10.11.25 13:21";"Mo., 10.11.25";"13:21";"13197-250037299";"Mi., 12.11.25";"15";""
"A.L.W GmbH & Co. KG (Al Forno)";"Mo., 10.11.25 13:18";"Mo., 10.11.25";"13:18";"11419-250037298";"Mi., 12.11.25";"15";""
"doTERRA - Europe Marketing GmbH";"Mo., 10.11.25 13:11";"Mo., 10.11.25";"13:11";"14074-250037297";"Mi., 12.11.25";"7";""
"Berner + Straller GmbH";"Mo., 10.11.25 13:10";"Mo., 10.11.25";"13:10";"13336-250037296";"Di., 11.11.25";"4";""
"Steuerkanzlei Herberg";"Mo., 10.11.25 13:01";"Mo., 10.11.25";"13:01";"10949-250037295";"Di., 11.11.25";"3";""
"Z. Alexandros, Z. Emmanouil,";"Mo., 10.11.25 12:55";"Mo., 10.11.25";"12:55";"10550-250037294";"Di., 11.11.25";"11";""
"Kloster";"Mo., 10.11.25 12:50";"Mo., 10.11.25";"12:50";"10074-250037293";"Di., 11.11.25";"24";""
"Lebenhilfe Wohnheim";"Mo., 10.11.25 12:47";"Mo., 10.11.25";"12:47";"13279-250037292";"Di., 11.11.25";"10";""
"Brasserie Nitz";"Mo., 10.11.25 12:40";"Mo., 10.11.25";"12:40";"11477-250037291";"Di., 11.11.25";"1";""
"Kulturladen Zieglestein";"Mo., 10.11.25 12:35";"Mo., 10.11.25";"12:35";"13625-250037290";"Mi., 12.11.25";"7";""
"Restaurant San Remo";"Mo., 10.11.25 12:31";"Mo., 10.11.25";"12:31";"12134-250037289";"Di., 11.11.25";"3";""
"24 sieben Shop Dr. Kurt-Schuhmacher-Str. 13";"Mo., 10.11.25 12:19";"Mo., 10.11.25";"12:19";"12243-250037288";"Di., 11.11.25";"3";""
"Crämer & Co. GmbH";"Mo., 10.11.25 12:12";"Mo., 10.11.25";"12:12";"11744-250037287";"Di., 11.11.25";"14";""
"Mono-Ton";"Mo., 10.11.25 12:08";"Mo., 10.11.25";"12:08";"13455-250037286";"Di., 11.11.25";"7";""
"Frankenalb Therme Hersbruck Therme";"Mo., 10.11.25 11:52";"Mo., 10.11.25";"11:52";"12947-250037285";"Mi., 12.11.25";"1";""
"Frankenalb Therme Hersbruck Personal";"Mo., 10.11.25 11:51";"Mo., 10.11.25";"11:51";"12945-250037284";"Mi., 12.11.25";"4";""
"Frankenalb Therme Hersbruck Therme";"Mo., 10.11.25 11:48";"Mo., 10.11.25";"11:48";"12947-250037283";"Mi., 12.11.25";"15";""
"BASECOFFEE Erlangen GmbH";"Mo., 10.11.25 11:47";"Mo., 10.11.25";"11:47";"12965-250037282";"Mi., 12.11.25";"8";""
"Schnacken Panek Hammerbacher";"Mo., 10.11.25 11:29";"Mo., 10.11.25";"11:29";"10946-250037281";"Mi., 12.11.25";"4";""
"Bäcker Feihl -  Nürnberger Straße";"Mo., 10.11.25 11:26";"Mo., 10.11.25";"11:26";"13783-250037280";"Do., 13.11.25";"1";""
"El Paso";"Mo., 10.11.25 11:17";"Mo., 10.11.25";"11:17";"10311-250037279";"Mi., 12.11.25";"10";""
"Steinplatte Fine Dining GmbH";"Mo., 10.11.25 11:17";"Mo., 10.11.25";"11:17";"13351-250037278";"Di., 11.11.25";"4";""
"Goldener Pudel";"Mo., 10.11.25 11:02";"Mo., 10.11.25";"11:02";"10003-250037277";"Di., 11.11.25";"4";""
"BASECOFFEE Würzburg GmbH";"Mo., 10.11.25 10:58";"Mo., 10.11.25";"10:58";"12967-250037276";"Do., 13.11.25";"13";""
"ADESTIS GmbH";"Mo., 10.11.25 10:53";"Mo., 10.11.25";"10:53";"13223-250037275";"Di., 11.11.25";"4";""
"Leonda Energie GmbH";"Mo., 10.11.25 10:51";"Mo., 10.11.25";"10:51";"12326-250037274";"Mi., 12.11.25";"6";""
"Thomas Filmtheater GmbH";"Mo., 10.11.25 10:39";"Mo., 10.11.25";"10:39";"12969-250037273";"Do., 13.11.25";"22";""
"Soccer Halle Nürnberg GmbH ( KICKFABRIK )";"Mo., 10.11.25 10:31";"Mo., 10.11.25";"10:31";"12733-250037272";"Di., 11.11.25";"16";""
"Gasthaus Hempels Erlangen";"Mo., 10.11.25 10:31";"Mo., 10.11.25";"10:31";"13257-250037271";"Di., 11.11.25";"11";""
"Eibacher Hof";"Mo., 10.11.25 10:08";"Mo., 10.11.25";"10:08";"13041-250037270";"Di., 11.11.25";"6";""
"PPN GmbH / Restaurant NIKU";"Mo., 10.11.25 09:31";"Mo., 10.11.25";"09:31";"13171-250037269";"Di., 11.11.25";"27";""
"KoKoNo GmbH";"Mo., 10.11.25 09:22";"Mo., 10.11.25";"09:22";"10689-250037268";"Di., 11.11.25";"4";""
"CARE Vision Germany GmbH";"Mo., 10.11.25 09:22";"Mo., 10.11.25";"09:22";"10892-250037267";"Di., 11.11.25";"1";""
"Ingenieurbüro Rückert GmbH";"Mo., 10.11.25 09:17";"Mo., 10.11.25";"09:17";"12431-250037266";"Di., 11.11.25";"1";""
"UmweltBank AG";"Mo., 10.11.25 09:14";"Mo., 10.11.25";"09:14";"13226-250037265";"Mi., 12.11.25";"2";""
"CDC Gastro GmbH";"Mo., 10.11.25 08:52";"Mo., 10.11.25";"08:52";"12092-250037264";"Di., 11.11.25";"10";""
"Evangelische Jugend Nürnberg";"Mo., 10.11.25 08:44";"Mo., 10.11.25";"08:44";"13362-250037263";"Di., 11.11.25";"11";""
"Bäcker Feihl - Bregenzer Straße";"Mo., 10.11.25 08:42";"Mo., 10.11.25";"08:42";"13798-250037262";"Di., 11.11.25";"1";""
"Industrie Esser GmbH & Co. KG";"Mo., 10.11.25 08:17";"Mo., 10.11.25";"08:17";"12115-250037261";"Di., 11.11.25";"2";""
"Bäcker Feihl -  Schwabacher Straße 19";"Mo., 10.11.25 07:49";"Mo., 10.11.25";"07:49";"13768-250037260";"Mi., 12.11.25";"11";""
"Stiftung ear";"Mo., 10.11.25 07:40";"Mo., 10.11.25";"07:40";"13243-250037259";"Di., 11.11.25";"6";""
"PrivatHotel Probst";"Mo., 10.11.25 07:23";"Mo., 10.11.25";"07:23";"10141-250037258";"Di., 11.11.25";"8";""
"Die Rakete Gastro GmbH";"Mo., 10.11.25 07:01";"Mo., 10.11.25";"07:01";"11864-250037257";"Mi., 12.11.25";"12";""
"Schimanski Event GmbH";"Mo., 10.11.25 06:41";"Mo., 10.11.25";"06:41";"13925-250037256";"Mi., 12.11.25";"28";""
"Adina";"Mo., 10.11.25 04:10";"Mo., 10.11.25";"04:10";"10339-250037255";"Mo., 10.11.25";"10";""
"Adina";"Mo., 10.11.25 04:09";"Mo., 10.11.25";"04:09";"10339-250037254";"Mo., 10.11.25";"2";""
"Haymat GmbH";"Mo., 10.11.25 01:27";"Mo., 10.11.25";"01:27";"12487-250037253";"Mo., 10.11.25";"6";""
"HOY Hospitality GmbH";"Mo., 10.11.25 01:13";"Mo., 10.11.25";"01:13";"13926-250037252";"Mo., 10.11.25";"8";""
"Gostner Hoftheater Büro";"Mo., 10.11.25 01:00";"Mo., 10.11.25";"01:00";"13235-250037251";"Mo., 10.11.25";"6";""
"Gostner Hoftheater Theaterkneipe Loft";"Mo., 10.11.25 01:00";"Mo., 10.11.25";"01:00";"13227-250037250";"Mo., 10.11.25";"15";""
"Tam Tam Ingolstadt GmbH";"Mo., 10.11.25 00:45";"Mo., 10.11.25";"00:45";"12049-250037249";"Di., 11.11.25";"75";""
"Restobar Zoom";"Mo., 10.11.25 00:43";"Mo., 10.11.25";"00:43";"12389-250037248";"Mo., 10.11.25";"11";""
"Mitte Soundbar";"Mo., 10.11.25 00:37";"Mo., 10.11.25";"00:37";"12000-250037247";"Mo., 10.11.25";"21";""
"La Fum‘ee";"Mo., 10.11.25 00:30";"Mo., 10.11.25";"00:30";"13013-250037246";"Mo., 10.11.25";"11";""
"Ludwig Gastronomie Betriebs GmbH";"So., 09.11.25 23:51";"So., 09.11.25";"23:51";"12709-250037245";"Mo., 10.11.25";"20";""
"Aroma Lounge Erlangen";"So., 09.11.25 23:39";"So., 09.11.25";"23:39";"10390-250037244";"Mo., 10.11.25";"9";""
"Holuc-Eat & Meet GmbH";"So., 09.11.25 22:40";"So., 09.11.25";"22:40";"14019-250037243";"Mo., 10.11.25";"4";""
"BurgerBar Kuhmuhne GmbH";"So., 09.11.25 22:30";"So., 09.11.25";"22:30";"11360-250037242";"Mo., 10.11.25";"2";""
"Original Berliner Döner";"So., 09.11.25 22:24";"So., 09.11.25";"22:24";"12058-250037241";"Mo., 10.11.25";"10";""
"Original Berliner Döner";"So., 09.11.25 22:21";"So., 09.11.25";"22:21";"12749-250037240";"Do., 13.11.25";"2";""
"Hotel im Pillhofer";"So., 09.11.25 22:20";"So., 09.11.25";"22:20";"10021-250037239";"Mo., 10.11.25";"7";""
"Strandcafe";"So., 09.11.25 22:03";"So., 09.11.25";"22:03";"10978-250037238";"Mi., 12.11.25";"23";""
"Restaurant La Vita, Fabio Galizia";"So., 09.11.25 21:38";"So., 09.11.25";"21:38";"11985-250037237";"Mo., 10.11.25";"2";""
"Café Retiro";"So., 09.11.25 21:36";"So., 09.11.25";"21:36";"13621-250037236";"Mo., 10.11.25";"8";""
"Pepe im Campus GmbH";"So., 09.11.25 21:20";"So., 09.11.25";"21:20";"12503-250037235";"Mo., 10.11.25";"4";""
"Cosy Fine Asian Cuisine & Sushi Bar";"So., 09.11.25 21:18";"So., 09.11.25";"21:18";"12103-250037234";"Mo., 10.11.25";"20";""
"Espressobar Segafredo Frankencenter";"So., 09.11.25 21:13";"So., 09.11.25";"21:13";"12485-250037233";"Mo., 10.11.25";"13";""
"Tipico-Shop";"So., 09.11.25 20:59";"So., 09.11.25";"20:59";"11892-250037232";"Mo., 10.11.25";"6";""
