"Kunde";"Bestelldatum";"Bestelldatum_Roh";"Bestellzeit";"Bestellnummer";"Zustelldatum";"Bestellübersicht";"Interne Tags"
"ADTV Tanzstudio Geist";"Mi., 05.11.25 17:25";"Mi., 05.11.25";"17:25";"12257-250036990";"Do., 06.11.25";"2";""
"adesso SE";"Mi., 05.11.25 16:21";"Mi., 05.11.25";"16:21";"13204-250036989";"Do., 06.11.25";"11";""
"Sloe GbR";"Mi., 05.11.25 16:13";"Mi., 05.11.25";"16:13";"14067-250036988";"Mo., 10.11.25";"3";""
"Brudi GmbH";"Mi., 05.11.25 15:59";"Mi., 05.11.25";"15:59";"12824-250036987";"Do., 06.11.25";"8";""
"GMN Paul Müller Industrie GmbH & Co. KG";"Mi., 05.11.25 15:57";"Mi., 05.11.25";"15:57";"13461-250036986";"Do., 06.11.25";"5";""
"Kuda FRD GmbH";"Mi., 05.11.25 15:54";"Mi., 05.11.25";"15:54";"13260-250036985";"Do., 06.11.25";"19";""
"Ferdin Catering GmbH Standort: Stadhalle Fürth";"Mi., 05.11.25 15:48";"Mi., 05.11.25";"15:48";"12735-250036984";"Do., 06.11.25";"4";""
"Cafè Michels";"Mi., 05.11.25 15:43";"Mi., 05.11.25";"15:43";"11813-250036983";"Do., 06.11.25";"4";""
"Boulderhalle E4 GmbH & Co. KG";"Mi., 05.11.25 15:40";"Mi., 05.11.25";"15:40";"13386-250036982";"Do., 06.11.25";"11";""
"El Floridita";"Mi., 05.11.25 15:35";"Mi., 05.11.25";"15:35";"11801-250036981";"Do., 06.11.25";"40";""
"A Table Partyservice / Maison";"Mi., 05.11.25 15:32";"Mi., 05.11.25";"15:32";"10702-250036980";"Di., 11.11.25";"13";""
"RAU, SCHNECK & HÜBNER";"Mi., 05.11.25 15:03";"Mi., 05.11.25";"15:03";"10860-250036979";"Do., 06.11.25";"4";""
"Ludwigscafé";"Mi., 05.11.25 14:24";"Mi., 05.11.25";"14:24";"14046-250036978";"Do., 06.11.25";"5";""
"NextDoor CoffeeClub e. K.";"Mi., 05.11.25 14:01";"Mi., 05.11.25";"14:01";"12960-250036977";"Do., 06.11.25";"8";""
"Admira Apotheke";"Mi., 05.11.25 13:38";"Mi., 05.11.25";"13:38";"12465-250036976";"Do., 06.11.25";"6";""
"Orko Cafe";"Mi., 05.11.25 13:29";"Mi., 05.11.25";"13:29";"13293-250036975";"Do., 06.11.25";"21";""
"Familienservice";"Mi., 05.11.25 13:25";"Mi., 05.11.25";"13:25";"13298-250036974";"Di., 11.11.25";"4";""
"arsmedium AG";"Mi., 05.11.25 13:18";"Mi., 05.11.25";"13:18";"10895-250036973";"Mo., 10.11.25";"8";""
"Kreisjugendring Nürnberg-Stadt";"Mi., 05.11.25 12:44";"Mi., 05.11.25";"12:44";"10857-250036972";"Do., 06.11.25";"5";""
"Gourmet Tempel";"Mi., 05.11.25 12:14";"Mi., 05.11.25";"12:14";"11780-250036971";"Do., 06.11.25";"6";""
"Bäcker Feihl - Matthäus-Hermann-Platz";"Mi., 05.11.25 12:07";"Mi., 05.11.25";"12:07";"13792-250036970";"Do., 06.11.25";"1";""
"Kindergarten ""Unterm Regenbogen"" Schwaig";"Mi., 05.11.25 11:33";"Mi., 05.11.25";"11:33";"12072-250036969";"Di., 11.11.25";"2";""
"Beim Almosmüller";"Mi., 05.11.25 11:25";"Mi., 05.11.25";"11:25";"11488-250036968";"Do., 06.11.25";"6";""
"Stadt Nürnberg Feuerwehr";"Mi., 05.11.25 11:15";"Mi., 05.11.25";"11:15";"13632-250036967";"Mo., 10.11.25";"13";""
"Optik Schlemmer GmbH & Co. KG";"Mi., 05.11.25 11:02";"Mi., 05.11.25";"11:02";"10116-250036966";"Fr., 07.11.25";"7";""
"Deutsches Museum Shop GmbH";"Mi., 05.11.25 10:36";"Mi., 05.11.25";"10:36";"13277-250036965";"Do., 06.11.25";"9";""
"Süß & Würzig";"Mi., 05.11.25 10:33";"Mi., 05.11.25";"10:33";"12198-250036964";"Do., 06.11.25";"18";""
"Spielhalle ""Jackpot""";"Mi., 05.11.25 10:20";"Mi., 05.11.25";"10:20";"11962-250036963";"Do., 06.11.25";"8";""
"Food and Work GmbH  (Season Cafe)";"Mi., 05.11.25 10:01";"Mi., 05.11.25";"10:01";"12977-250036962";"Do., 06.11.25";"8";""
"Sportscafe Steki";"Mi., 05.11.25 09:54";"Mi., 05.11.25";"09:54";"10577-250036961";"Di., 11.11.25";"18";""
"Gasthof Alex";"Mi., 05.11.25 09:37";"Mi., 05.11.25";"09:37";"12762-250036960";"Do., 06.11.25";"11";""
"Fun Of Europe Handels GmbH";"Mi., 05.11.25 08:11";"Mi., 05.11.25";"08:11";"12041-250036959";"Do., 06.11.25";"5";""
"Ringhotel Loew's Merkur";"Mi., 05.11.25 07:48";"Mi., 05.11.25";"07:48";"10901-250036958";"Do., 06.11.25";"15";""
"La Vie";"Mi., 05.11.25 02:15";"Mi., 05.11.25";"02:15";"12624-250036957";"Mi., 05.11.25";"10";""
"ALE ORA Roth";"Mi., 05.11.25 00:41";"Mi., 05.11.25";"00:41";"12833-250036956";"Mi., 05.11.25";"8";""
"1001 Nacht";"Mi., 05.11.25 00:28";"Mi., 05.11.25";"00:28";"11649-250036955";"Mi., 05.11.25";"24";""
"Maro Entertainment GmbH (Blu Bowl)";"Mi., 05.11.25 00:00";"Mi., 05.11.25";"00:00";"12204-250036954";"Fr., 07.11.25";"5";""
"Lübbis Essen & Trinken";"Di., 04.11.25 23:28";"Di., 04.11.25";"23:28";"11569-250036953";"Mi., 05.11.25";"16";""
"Hiro Sakao Fürth GmbH";"Di., 04.11.25 22:57";"Di., 04.11.25";"22:57";"10832-250036952";"Mi., 05.11.25";"15";""
"Studio Diskothekenbetriebs GmbH - Bad Habit Club";"Di., 04.11.25 22:34";"Di., 04.11.25";"22:34";"13986-250036951";"Do., 06.11.25";"9";""
"994 Ginza";"Di., 04.11.25 22:08";"Di., 04.11.25";"22:08";"10766-250036950";"Mi., 05.11.25";"18";""
"Hiro Schwabach";"Di., 04.11.25 22:05";"Di., 04.11.25";"22:05";"11983-250036949";"Mi., 05.11.25";"3";""
"Burschicoos";"Di., 04.11.25 21:49";"Di., 04.11.25";"21:49";"13611-250036948";"Mi., 05.11.25";"15";""
"Holy Greek GmbH";"Di., 04.11.25 21:44";"Di., 04.11.25";"21:44";"13660-250036947";"Mi., 05.11.25";"16";""
"Moon Restaurant";"Di., 04.11.25 21:35";"Di., 04.11.25";"21:35";"12140-250036946";"Mi., 05.11.25";"22";""
"Gecco";"Di., 04.11.25 21:34";"Di., 04.11.25";"21:34";"12672-250036945";"Mi., 05.11.25";"20";""
"Levantine SUAT SEKMEN";"Di., 04.11.25 20:48";"Di., 04.11.25";"20:48";"12048-250036944";"Mi., 05.11.25";"2";""
"Barcode Trend GmbH, dieroteBar";"Di., 04.11.25 20:31";"Di., 04.11.25";"20:31";"13180-250036943";"Mi., 05.11.25";"1";""
"Hardtherzlich";"Di., 04.11.25 20:03";"Di., 04.11.25";"20:03";"12741-250036942";"Mi., 05.11.25";"3";""
"Barcode Trend GmbH, dieroteBar";"Di., 04.11.25 19:59";"Di., 04.11.25";"19:59";"13180-250036941";"Mi., 05.11.25";"32";""
"Locanda Erlangen GmbH";"Di., 04.11.25 19:57";"Di., 04.11.25";"19:57";"11517-250036940";"Mi., 05.11.25";"10";""
"BurgerBar Kuhmuhne GmbH";"Di., 04.11.25 19:43";"Di., 04.11.25";"19:43";"11360-250036939";"Mi., 05.11.25";"19";""
"Levantine SUAT SEKMEN";"Di., 04.11.25 19:34";"Di., 04.11.25";"19:34";"12048-250036938";"Mi., 05.11.25";"4";""
"ZanziBar";"Di., 04.11.25 18:50";"Di., 04.11.25";"18:50";"12323-250036937";"Mi., 05.11.25";"1";""
"Mitte Soundbar";"Di., 04.11.25 18:48";"Di., 04.11.25";"18:48";"12000-250036936";"Mi., 05.11.25";"17";""
"Boom Lounge";"Di., 04.11.25 18:08";"Di., 04.11.25";"18:08";"11562-250036935";"Mi., 05.11.25";"10";""
"Südtiroler Stuben";"Di., 04.11.25 18:05";"Di., 04.11.25";"18:05";"12996-250036934";"Mi., 05.11.25";"18";""
"Lighthouse GmbH";"Di., 04.11.25 17:55";"Di., 04.11.25";"17:55";"13206-250036933";"Mi., 05.11.25";"16";""
"Café Prinz";"Di., 04.11.25 17:47";"Di., 04.11.25";"17:47";"10315-250036932";"Mi., 05.11.25";"21";""
"Dr. Fuchs";"Di., 04.11.25 17:39";"Di., 04.11.25";"17:39";"13308-250036931";"Mi., 05.11.25";"2";""
"2N Kurse GbR - Josphsplatz";"Di., 04.11.25 17:31";"Di., 04.11.25";"17:31";"13921-250036930";"Mi., 05.11.25";"4";""
"Le Kazoku";"Di., 04.11.25 17:26";"Di., 04.11.25";"17:26";"11660-250036929";"Mi., 05.11.25";"10";""
"Only";"Di., 04.11.25 17:23";"Di., 04.11.25";"17:23";"10642-250036928";"Mi., 05.11.25";"25";""
"SVA System Vertrieb Alexander GmbH";"Di., 04.11.25 17:20";"Di., 04.11.25";"17:20";"13246-250036927";"Mi., 05.11.25";"2";""
"Hugo Gastronomie - Café & Bar";"Di., 04.11.25 17:19";"Di., 04.11.25";"17:19";"10005-250036926";"Mi., 05.11.25";"12";""
"Monte Bar";"Di., 04.11.25 17:18";"Di., 04.11.25";"17:18";"12711-250036925";"Do., 06.11.25";"17";""
"Ristorante Quo Vadis";"Di., 04.11.25 17:11";"Di., 04.11.25";"17:11";"10581-250036924";"Mi., 05.11.25";"7";""
"Holy Monk";"Di., 04.11.25 17:09";"Di., 04.11.25";"17:09";"10340-250036923";"Mi., 05.11.25";"23";""
"New Force";"Di., 04.11.25 17:03";"Di., 04.11.25";"17:03";"13384-250036922";"Mi., 05.11.25";"14";""
"Brasserie Nitz";"Di., 04.11.25 16:13";"Di., 04.11.25";"16:13";"11477-250036921";"Mi., 05.11.25";"1";""
"Cocktails Castro Mobile Bar";"Di., 04.11.25 16:01";"Di., 04.11.25";"16:01";"11351-250036920";"Mi., 05.11.25";"5";""
"Babylon Kino am Stadtpark";"Di., 04.11.25 16:01";"Di., 04.11.25";"16:01";"13287-250036919";"Fr., 07.11.25";"1";""
"Glubb In";"Di., 04.11.25 15:47";"Di., 04.11.25";"15:47";"13445-250036918";"Mi., 05.11.25";"3";""
"Stefan Sperber GmbH";"Di., 04.11.25 15:38";"Di., 04.11.25";"15:38";"10889-250036917";"Do., 06.11.25";"3";""
"Jany Patriz";"Di., 04.11.25 15:25";"Di., 04.11.25";"15:25";"14063-250036916";"Mi., 05.11.25";"3";""
"dasPaul Restaurant & Hotel";"Di., 04.11.25 15:24";"Di., 04.11.25";"15:24";"10134-250036915";"Fr., 07.11.25";"3";""
"Fritz Schelle GmbH";"Di., 04.11.25 15:23";"Di., 04.11.25";"15:23";"12706-250036914";"Mo., 10.11.25";"3";""
"The Hummus Connection";"Di., 04.11.25 15:22";"Di., 04.11.25";"15:22";"12572-250036913";"Mi., 05.11.25";"19";""
"Lighthouse GmbH";"Di., 04.11.25 15:20";"Di., 04.11.25";"15:20";"13206-250036912";"Mi., 05.11.25";"14";""
"SOS-Kinderdorf Nürnberg";"Di., 04.11.25 15:00";"Di., 04.11.25";"15:00";"13454-250036911";"Do., 06.11.25";"1";""
"WonderWaffel Nürnberg";"Di., 04.11.25 15:00";"Di., 04.11.25";"15:00";"10329-250036910";"Mi., 05.11.25";"11";""
"SOS-Kinderdorf Nürnberg";"Di., 04.11.25 14:59";"Di., 04.11.25";"14:59";"13454-250036909";"Do., 06.11.25";"10";""
"blond.";"Di., 04.11.25 14:49";"Di., 04.11.25";"14:49";"12600-250036908";"Do., 06.11.25";"3";""
"Sam ohne Katzen";"Di., 04.11.25 14:43";"Di., 04.11.25";"14:43";"10710-250036907";"Mi., 05.11.25";"9";""
"Bergbrand GmbH";"Di., 04.11.25 14:40";"Di., 04.11.25";"14:40";"11065-250036906";"Mi., 05.11.25";"7";""
"Commerzbank";"Di., 04.11.25 14:39";"Di., 04.11.25";"14:39";"12425-250036905";"Mi., 05.11.25";"2";""
"Alexander Russ (deins und meins)";"Di., 04.11.25 14:24";"Di., 04.11.25";"14:24";"10821-250036904";"Mi., 05.11.25";"5";""
"Primo Esspresso Cafebar Gebäude M211/ Modul 2";"Di., 04.11.25 14:06";"Di., 04.11.25";"14:06";"12027-250036903";"Mi., 05.11.25";"8";""
"Sumitomo (SHI) Demag Plastics Machinery GmbH / Vertriebsgebäude";"Di., 04.11.25 14:02";"Di., 04.11.25";"14:02";"13034-250036902";"Di., 11.11.25";"2";""
"Ambulantes BehandlungsCentrum";"Di., 04.11.25 14:00";"Di., 04.11.25";"14:00";"13004-250036901";"Do., 06.11.25";"3";""
"Sumitomo (SHI) Demag Plastics Machinery GmbH / Vertriebsgebäude";"Di., 04.11.25 13:53";"Di., 04.11.25";"13:53";"13034-250036900";"Di., 11.11.25";"2";""
"Haus am See GbR";"Di., 04.11.25 13:49";"Di., 04.11.25";"13:49";"12533-250036899";"Mi., 05.11.25";"11";""
"Weissman & Cie. GmbH";"Di., 04.11.25 13:40";"Di., 04.11.25";"13:40";"13266-250036898";"Mi., 05.11.25";"4";""
"Reinshagen Technik GmbH & Co.";"Di., 04.11.25 13:29";"Di., 04.11.25";"13:29";"10918-250036897";"Mi., 05.11.25";"4";""
"Takiro Restaurant";"Di., 04.11.25 13:11";"Di., 04.11.25";"13:11";"13951-250036896";"Mi., 05.11.25";"13";""
"Quellkollektiv e.V.";"Di., 04.11.25 13:09";"Di., 04.11.25";"13:09";"13379-250036895";"Mi., 05.11.25";"14";""
"Bäcker Feihl - Altdorfer Straße";"Di., 04.11.25 12:59";"Di., 04.11.25";"12:59";"13789-250036894";"Do., 06.11.25";"5";""
"vedans";"Di., 04.11.25 12:47";"Di., 04.11.25";"12:47";"11382-250036893";"Do., 13.11.25";"10";""
"GB Vermögensverwaltung GmbH & Co. KG";"Di., 04.11.25 12:28";"Di., 04.11.25";"12:28";"12972-250036892";"Mi., 05.11.25";"2";""
"La Fiesta";"Di., 04.11.25 12:28";"Di., 04.11.25";"12:28";"12468-250036891";"Do., 06.11.25";"16";""
"Praxis Dr. med. Ulrich Haas";"Di., 04.11.25 12:22";"Di., 04.11.25";"12:22";"13964-250036890";"Do., 06.11.25";"2";""
"Adina";"Di., 04.11.25 12:20";"Di., 04.11.25";"12:20";"10339-250036889";"Do., 06.11.25";"3";""
"Adina";"Di., 04.11.25 12:20";"Di., 04.11.25";"12:20";"10339-250036888";"Do., 06.11.25";"10";""
"Nachtkind";"Di., 04.11.25 12:18";"Di., 04.11.25";"12:18";"10234-250036887";"Do., 06.11.25";"16";""
"Nachtkind";"Di., 04.11.25 12:13";"Di., 04.11.25";"12:13";"10234-250036886";"Do., 06.11.25";"25";""
"Gaststätte Park Central";"Di., 04.11.25 11:54";"Di., 04.11.25";"11:54";"10387-250036885";"Mi., 05.11.25";"14";""
"ActionPark Nürnberg";"Di., 04.11.25 11:28";"Di., 04.11.25";"11:28";"13154-250036884";"Mi., 05.11.25";"14";""
"BASECOFFEE Würzburg GmbH";"Di., 04.11.25 11:09";"Di., 04.11.25";"11:09";"12967-250036883";"Do., 06.11.25";"7";""
"LP Konzept GmbH (Bliss)";"Di., 04.11.25 11:06";"Di., 04.11.25";"11:06";"14010-250036882";"Mi., 05.11.25";"12";""
"Huff";"Di., 04.11.25 11:04";"Di., 04.11.25";"11:04";"11525-250036881";"Do., 06.11.25";"5";""
"Jinh Baiersdorf GmbH";"Di., 04.11.25 10:56";"Di., 04.11.25";"10:56";"13980-250036880";"Mi., 05.11.25";"14";""
"Bäcker Feihl -  Berchinger Straße 30";"Di., 04.11.25 10:40";"Di., 04.11.25";"10:40";"13776-250036879";"Do., 06.11.25";"7";""
"Shenu Technology GmbH";"Di., 04.11.25 10:10";"Di., 04.11.25";"10:10";"13753-250036878";"Mi., 05.11.25";"3";""
"Spielodrom Spielhalle Nürnberg";"Di., 04.11.25 10:05";"Di., 04.11.25";"10:05";"13075-250036877";"Mi., 05.11.25";"5";""
"Ferngas Service & Management GmbH & Co. KG";"Di., 04.11.25 09:53";"Di., 04.11.25";"09:53";"12234-250036876";"Mi., 05.11.25";"5";""
"Kanzlei Müller-Heydenreich Bierbach & Kollegen";"Di., 04.11.25 09:34";"Di., 04.11.25";"09:34";"13326-250036875";"Mi., 05.11.25";"6";""
"Fleming-Apotheke";"Di., 04.11.25 09:33";"Di., 04.11.25";"09:33";"13310-250036874";"Mi., 05.11.25";"2";""
"Hot Tacos";"Di., 04.11.25 08:58";"Di., 04.11.25";"08:58";"12167-250036873";"Mi., 05.11.25";"10";""
"Bäcker Feihl - Hans-Vogel-Straße";"Di., 04.11.25 08:40";"Di., 04.11.25";"08:40";"13801-250036872";"Mi., 05.11.25";"10";""
"Petra Emmert";"Di., 04.11.25 08:30";"Di., 04.11.25";"08:30";"13907-250036871";"Mi., 05.11.25";"2";""
"LRT technologies GmbH";"Di., 04.11.25 08:21";"Di., 04.11.25";"08:21";"10856-250036870";"Mi., 05.11.25";"4";""
