"Kunde";"Bestelldatum";"Bestelldatum_Roh";"Bestellzeit";"Bestellnummer";"Zustelldatum";"Bestellübersicht";"Interne Tags"
"Bruderherz GmbH";"Do., 06.11.25 15:19";"Do., 06.11.25";"15:19";"10767-250037063";"Fr., 07.11.25";"11";""
"Holuc-Eat & Meet GmbH";"Do., 06.11.25 15:09";"Do., 06.11.25";"15:09";"14019-250037062";"Mo., 10.11.25";"6";""
"Ludwigs Bar & Café";"Do., 06.11.25 14:30";"Do., 06.11.25";"14:30";"13263-250037061";"Fr., 07.11.25";"30";""
"Mövenpick Restaurant Nürnberg";"Do., 06.11.25 14:26";"Do., 06.11.25";"14:26";"10592-250037060";"Mi., 12.11.25";"1";""
"Mövenpick Restaurant Nürnberg";"Do., 06.11.25 14:26";"Do., 06.11.25";"14:26";"10592-250037059";"Mo., 10.11.25";"2";""
"Primo Esspresso Cafebar Gebäude M211/ Modul 2";"Do., 06.11.25 14:17";"Do., 06.11.25";"14:17";"12027-250037058";"Mo., 10.11.25";"9";""
"Hotel Avenue";"Do., 06.11.25 13:41";"Do., 06.11.25";"13:41";"13488-250037057";"Fr., 07.11.25";"10";""
"NIK e. V. (Südwestpark Forum)";"Do., 06.11.25 13:26";"Do., 06.11.25";"13:26";"13459-250037056";"Mo., 17.11.25";"10";""
"Grüner Baum Fürth GmbH";"Do., 06.11.25 13:19";"Do., 06.11.25";"13:19";"12362-250037055";"Fr., 07.11.25";"7";""
"Pure Food Café";"Do., 06.11.25 13:17";"Do., 06.11.25";"13:17";"12056-250037054";"Fr., 07.11.25";"8";""
"Süss Dealer  Cafe - Brasserie";"Do., 06.11.25 13:15";"Do., 06.11.25";"13:15";"10485-250037053";"Fr., 07.11.25";"11";""
"Murata Electronics Europe B.V. Germany";"Do., 06.11.25 13:14";"Do., 06.11.25";"13:14";"12381-250037052";"Di., 11.11.25";"7";""
"La Petite Fürth e. K.";"Do., 06.11.25 12:38";"Do., 06.11.25";"12:38";"13002-250037051";"Fr., 07.11.25";"1";""
"Katz GmbHCo. KG";"Do., 06.11.25 12:32";"Do., 06.11.25";"12:32";"13294-250037050";"Fr., 07.11.25";"14";""
"Suse Software Solutions Germany";"Do., 06.11.25 12:26";"Do., 06.11.25";"12:26";"11842-250037049";"Fr., 07.11.25";"4";""
"Niu - asian café";"Do., 06.11.25 12:18";"Do., 06.11.25";"12:18";"10374-250037048";"Fr., 07.11.25";"8";""
"inovex GmbH";"Do., 06.11.25 11:29";"Do., 06.11.25";"11:29";"12578-250037047";"Di., 11.11.25";"9";""
"La Petite Fürth e. K.";"Do., 06.11.25 11:01";"Do., 06.11.25";"11:01";"13002-250037046";"Fr., 07.11.25";"8";""
"Estragon GmbH";"Do., 06.11.25 10:53";"Do., 06.11.25";"10:53";"10014-250037045";"Fr., 07.11.25";"17";""
"TSV Altenfurt e.V Fußball";"Do., 06.11.25 10:53";"Do., 06.11.25";"10:53";"13982-250037044";"Fr., 07.11.25";"6";""
"ATI Sadi Autoteile GmbH";"Do., 06.11.25 10:48";"Do., 06.11.25";"10:48";"13244-250037043";"Fr., 07.11.25";"3";""
"bsk büro + designhaus GmbH";"Do., 06.11.25 10:39";"Do., 06.11.25";"10:39";"12557-250037042";"Fr., 07.11.25";"2";""
"Selma Hebele (Infinity Beatz)";"Do., 06.11.25 10:37";"Do., 06.11.25";"10:37";"12515-250037041";"Fr., 07.11.25";"7";""
"Felsensteiner Gastro GmbH";"Do., 06.11.25 10:35";"Do., 06.11.25";"10:35";"12789-250037040";"Fr., 07.11.25";"5";""
"Steuerkanzlei Karaduman";"Do., 06.11.25 10:31";"Do., 06.11.25";"10:31";"13748-250037039";"Di., 11.11.25";"3";""
"SOHO Nightlife GmbH";"Do., 06.11.25 09:59";"Do., 06.11.25";"09:59";"13131-250037038";"Mo., 10.11.25";"20";""
"bsk büro + designhaus GmbH";"Do., 06.11.25 09:57";"Do., 06.11.25";"09:57";"12557-250037037";"Fr., 07.11.25";"2";""
"Zollamt Flughafen Belegschaft";"Do., 06.11.25 09:46";"Do., 06.11.25";"09:46";"10896-250037036";"Fr., 07.11.25";"6";""
"Brothers Play";"Do., 06.11.25 09:42";"Do., 06.11.25";"09:42";"13726-250037035";"Do., 13.11.25";"4";""
"achtzehn97 Cafe - Weinbar";"Do., 06.11.25 09:24";"Do., 06.11.25";"09:24";"10420-250037034";"Fr., 07.11.25";"5";""
"FIVE Diner I";"Do., 06.11.25 09:09";"Do., 06.11.25";"09:09";"11060-250037033";"Fr., 07.11.25";"5";""
"bmk CNC- Dreh- und Frästechnik GmbH Werk2";"Do., 06.11.25 08:53";"Do., 06.11.25";"08:53";"13332-250037032";"Mo., 10.11.25";"2";""
"BASECOFFEE Nürnberg GmbH";"Do., 06.11.25 08:50";"Do., 06.11.25";"08:50";"12964-250037031";"Fr., 07.11.25";"15";""
"DI SIMO - CAFFÉ E VINI GmbH";"Do., 06.11.25 08:41";"Do., 06.11.25";"08:41";"11127-250037030";"Fr., 07.11.25";"7";""
"Codecentric AG Kohlektiv 1. Stock";"Do., 06.11.25 08:29";"Do., 06.11.25";"08:29";"13315-250037029";"Fr., 07.11.25";"13";""
"Altstädter Schießhaus GmbH";"Do., 06.11.25 02:38";"Do., 06.11.25";"02:38";"12427-250037028";"Do., 06.11.25";"8";""
"Parkcafé Neumarkt";"Do., 06.11.25 01:12";"Do., 06.11.25";"01:12";"10744-250037027";"Do., 06.11.25";"10";""
"mach1 Club GmbH";"Do., 06.11.25 01:10";"Do., 06.11.25";"01:10";"11593-250037026";"Do., 06.11.25";"3";""
"hookah&beats UG";"Do., 06.11.25 00:29";"Do., 06.11.25";"00:29";"11158-250037025";"Do., 06.11.25";"44";""
"Mono Bar";"Do., 06.11.25 00:29";"Do., 06.11.25";"00:29";"10189-250037024";"Do., 06.11.25";"8";""
"Wilma Wunder Nürnberg GmbH";"Do., 06.11.25 00:06";"Do., 06.11.25";"00:06";"13924-250037023";"Do., 06.11.25";"19";""
"Noris Event GmbH / FKK Palmas";"Mi., 05.11.25 23:50";"Mi., 05.11.25";"23:50";"11739-250037022";"Do., 06.11.25";"20";""
"ALE ORA Lounge";"Mi., 05.11.25 23:40";"Mi., 05.11.25";"23:40";"11535-250037021";"Do., 06.11.25";"26";""
"Amaya Ingolstadt";"Mi., 05.11.25 23:36";"Mi., 05.11.25";"23:36";"10823-250037020";"Do., 06.11.25";"22";""
"Tante Betty GbR";"Mi., 05.11.25 23:23";"Mi., 05.11.25";"23:23";"13377-250037019";"Do., 06.11.25";"6";""
"Glücksmoment";"Mi., 05.11.25 23:23";"Mi., 05.11.25";"23:23";"12883-250037019";"Do., 06.11.25";"22";""
"ADTV Tanzstudio Geist";"Mi., 05.11.25 23:20";"Mi., 05.11.25";"23:20";"12257-250037018";"Do., 06.11.25";"1";""
"Ristorante L‘Amore da Massimo";"Mi., 05.11.25 23:19";"Mi., 05.11.25";"23:19";"12384-250037017";"Do., 06.11.25";"19";""
"Viertel";"Mi., 05.11.25 22:47";"Mi., 05.11.25";"22:47";"13103-250037016";"Do., 06.11.25";"4";""
"Weingut Göbel";"Mi., 05.11.25 22:32";"Mi., 05.11.25";"22:32";"11998-250037015";"Do., 06.11.25";"4";""
"Mom Restaurant";"Mi., 05.11.25 22:31";"Mi., 05.11.25";"22:31";"13683-250037014";"Do., 06.11.25";"5";""
"CoCo Sushi & Lounge";"Mi., 05.11.25 22:22";"Mi., 05.11.25";"22:22";"11643-250037013";"Do., 06.11.25";"17";""
"Lokmas";"Mi., 05.11.25 22:22";"Mi., 05.11.25";"22:22";"12769-250037012";"Do., 06.11.25";"5";""
"Arsch & Friedrich - Nill & Rachele GbR";"Mi., 05.11.25 22:09";"Mi., 05.11.25";"22:09";"13374-250037011";"Do., 06.11.25";"6";""
"Vice City";"Mi., 05.11.25 22:07";"Mi., 05.11.25";"22:07";"13962-250037010";"Do., 06.11.25";"6";""
"Lubu Restaurant GmbH";"Mi., 05.11.25 21:51";"Mi., 05.11.25";"21:51";"10807-250037009";"Do., 06.11.25";"28";""
"Essentials Café";"Mi., 05.11.25 21:35";"Mi., 05.11.25";"21:35";"13895-250037008";"Do., 06.11.25";"5";""
"Restaurant Riverside";"Mi., 05.11.25 20:26";"Mi., 05.11.25";"20:26";"10585-250037007";"Do., 06.11.25";"1";""
"Restaurant Riverside";"Mi., 05.11.25 20:25";"Mi., 05.11.25";"20:25";"10585-250037006";"Do., 06.11.25";"13";""
"Kiosk am Zollhaus";"Mi., 05.11.25 20:17";"Mi., 05.11.25";"20:17";"13162-250037005";"Do., 06.11.25";"7";""
"Rocket Diner";"Mi., 05.11.25 20:00";"Mi., 05.11.25";"20:00";"13093-250037004";"Do., 06.11.25";"12";""
"SIHA Restaurant";"Mi., 05.11.25 19:27";"Mi., 05.11.25";"19:27";"13023-250037003";"Do., 06.11.25";"12";""
"Die Box Club GmbH";"Mi., 05.11.25 19:08";"Mi., 05.11.25";"19:08";"12722-250037002";"Do., 06.11.25";"7";""
"Puglia Mia  - Mühlhausen";"Mi., 05.11.25 18:53";"Mi., 05.11.25";"18:53";"13813-250037001";"Do., 06.11.25";"6";""
"Stadtparkcafé Fürth";"Mi., 05.11.25 18:49";"Mi., 05.11.25";"18:49";"10283-250037000";"Do., 06.11.25";"12";""
"Cloud Bar & Lounge";"Mi., 05.11.25 18:37";"Mi., 05.11.25";"18:37";"12614-250036999";"Do., 06.11.25";"6";""
"Hochschule TH Georg Simon Ohm";"Mi., 05.11.25 18:34";"Mi., 05.11.25";"18:34";"13046-250036998";"Do., 06.11.25";"7";""
"N9 Brinner GmbH";"Mi., 05.11.25 18:30";"Mi., 05.11.25";"18:30";"12692-250036997";"Fr., 07.11.25";"7";""
"Bratwurstglöcklein Behringer";"Mi., 05.11.25 18:29";"Mi., 05.11.25";"18:29";"13108-250036996";"Do., 06.11.25";"4";""
"Andalusischer Hund";"Mi., 05.11.25 18:25";"Mi., 05.11.25";"18:25";"13550-250036995";"Do., 06.11.25";"7";""
"Ferdin Catering GmbH Standort: Stadhalle Fürth";"Mi., 05.11.25 18:17";"Mi., 05.11.25";"18:17";"12735-250036994";"Do., 06.11.25";"7";""
"SNYGG HOME";"Mi., 05.11.25 17:59";"Mi., 05.11.25";"17:59";"13324-250036993";"Do., 06.11.25";"11";""
"dasPaul Restaurant & Hotel";"Mi., 05.11.25 17:54";"Mi., 05.11.25";"17:54";"10134-250036992";"Fr., 07.11.25";"23";""
"NextDoor CoffeeClub e. K.";"Mi., 05.11.25 17:46";"Mi., 05.11.25";"17:46";"12960-250036991";"Do., 06.11.25";"1";""
