name,group,spec,status
Musiccenter Trockau,Montag,30 FAVORITEN,Zuletzt bestellt vor 3 Jahren
Musikverein im Künstler*innenhaus Nürnberg e. V.,Standardgruppe,FAVORITEN HINZUFÜGEN,Einladung noch nicht angenommen
Muster,Standardgruppe,9 FAVORITEN,Zuletzt bestellt vor 9 Monaten
Muu Korean Kitchen,Standardgruppe,14 FAVORITEN,Zuletzt bestellt vor 5 Tagen
Männer am Herd UG (haftungsbes,Standardgruppe,88 FAVORITEN,Zuletzt bestellt vor 5 Stunden
Möbelkollektiv GmbH - Bauteil C,Standardgruppe,8 FAVORITEN,Zuletzt bestellt vor 2 Monaten
Mövenpick Hotel Nürnberg Flug.,Standardgruppe,60 FAVORITEN,Einladung noch nicht angenommen
Mövenpick Restaurant Nürnberg,Standardgruppe,12 FAVORITEN,Einladung noch nicht angenommen
Mühlpfort,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
Müller,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
Müller,Dienstag,FAVORITEN HINZUFÜGEN,Daten unvollständig
Müller Spezialitäten Langos,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
Münchner Getränkedienst GmbH,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
N-ERGIE Lichtblick,Standardgruppe,52 FAVORITEN,Einladung noch nicht angenommen
N-ERGIE Uhrenhaus,Standardgruppe,73 FAVORITEN,Einladung noch nicht angenommen
N9 Brinner GmbH,Standardgruppe,130 FAVORITEN,Zuletzt bestellt vor 5 Tagen
NAMY Asia GmbH,Dienstag,FAVORITEN HINZUFÜGEN,Daten unvollständig
NCP engineering GmbH,Standardgruppe,10 FAVORITEN,Zuletzt bestellt vor 3 Monaten
NEUMARKTER GLOSSNERBRÄU GmbH & Co. KG,Standardgruppe,FAVORITEN HINZUFÜGEN,Einladung noch nicht angenommen
NIK e. V. (IHK Mittelfranken),Standardgruppe,FAVORITEN HINZUFÜGEN,Keine Einladung erstellt (Erstellt am 01.04.25)
NIK e. V. (Nürnberger Initiative für Kommunikationswirtschaft e. V.,Standardgruppe,FAVORITEN HINZUFÜGEN,Keine Einladung erstellt (Erstellt am 01.04.25)
NIK e. V. (OM7),Standardgruppe,FAVORITEN HINZUFÜGEN,Keine Einladung erstellt (Erstellt am 01.04.25)
NIK e. V. (Südwestpark Forum),Standardgruppe,15 FAVORITEN,Zuletzt bestellt vor einem Monat
NIK e.V.,Standardgruppe,FAVORITEN HINZUFÜGEN,Keine Einladung erstellt (Erstellt am 28.03.25)
NIU Premium Store Nürnberg,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
NULL72,Standardgruppe,FAVORITEN HINZUFÜGEN,Einladung noch nicht angenommen
NaPizza Napoletana GbR Fürth,Standardgruppe,66 FAVORITEN,Zuletzt bestellt vor 2 Tagen
Nachtcafé,Standardgruppe,177 FAVORITEN,Zuletzt bestellt vor 2 Tagen
Nachtkartell GmbH,Standardgruppe,83 FAVORITEN,Einladung noch nicht angenommen
Nachtkind,Standardgruppe,174 FAVORITEN,Zuletzt bestellt vor 7 Tagen
