name,group,spec,status
Trolli GmbH,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
Trolli GmbH,Standardgruppe,FAVORITEN HINZUFÜGEN,Noch keine Bestellung seit 9 Monate
Tu Ca Mi,Standardgruppe,38 FAVORITEN,Zuletzt bestellt vor 2 Jahren
Tucher Bräu GmbH & Co. KG,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
Tukase,Standardgruppe,28 FAVORITEN,Zuletzt bestellt vor einem Monat
Tukase Shisha Bar,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
Turkish Homekitchen,Dienstag,21 FAVORITEN,Zuletzt bestellt vor 3 Monaten
Twenty's Shisha Bar & Café,Dienstag,37 FAVORITEN,Zuletzt bestellt vor 3 Jahren
Twenty's Shisha Bar Café,Standardgruppe,23 FAVORITEN,Zuletzt bestellt vor 2 Jahren
Twentys Shisha Bar,Standardgruppe,60 FAVORITEN,Zuletzt bestellt vor 12 Tagen
TÖRTCHENWELT,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
Türüc Catering,Standardgruppe,FAVORITEN HINZUFÜGEN,Einladung angenommen
T‘KYO Restaurant,Standardgruppe,80 FAVORITEN,Zuletzt bestellt vor 14 Tagen
UBPA GmbH,Standardgruppe,12 FAVORITEN,Noch keine Bestellung seit ein Jahr
UNDECIDED Bar,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
UNYSONO Immobilienkultur GmbH,Standardgruppe,9 FAVORITEN,Zuletzt bestellt vor 4 Tagen
Ulrich Migotto,Standardgruppe,10 FAVORITEN,Zuletzt bestellt vor 10 Tagen
Ulrike Roßkopf,Standardgruppe,FAVORITEN HINZUFÜGEN,Einladung noch nicht angenommen
Umami Creative GmbH,Standardgruppe,FAVORITEN HINZUFÜGEN,Noch keine Bestellung seit 2 Jahre
UmweltBank AG,Standardgruppe,16 FAVORITEN,Zuletzt bestellt vor 19 Tagen
Umweltbank Nikolai von Schlotheim,Standardgruppe,6 FAVORITEN,Zuletzt bestellt vor einem Monat
Unfassbar,Freitag,FAVORITEN HINZUFÜGEN,Daten unvollständig
UniVersa Lebensversicherung a.G.,Standardgruppe,65 FAVORITEN,Zuletzt bestellt vor 18 Tagen
Unique Personalservice GmbH,Standardgruppe,31 FAVORITEN,Zuletzt bestellt vor 13 Tagen
Untergeschoss Sebastiano Cutro,Standardgruppe,34 FAVORITEN,Zuletzt bestellt vor 2 Jahren
Urban Challenge UG (haftungs-,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
Urban Drink House,Standardgruppe,FAVORITEN HINZUFÜGEN,Einladung noch nicht angenommen
Ursula Reckler,Standardgruppe,2 FAVORITEN,Einladung noch nicht angenommen
Ute Dahinden-Schupp,Standardgruppe,FAVORITEN HINZUFÜGEN,Noch keine Bestellung seit 2 Jahre
Utopic Music GmbH,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
Utopic Music GmbH,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
Uwe Hasenai,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
VALUZE GmbH Café Terrazza,Standardgruppe,65 FAVORITEN,Zuletzt bestellt vor 2 Jahren
VB Reinigungskonzepte GmbH,Standardgruppe,FAVORITEN HINZUFÜGEN,Keine Einladung erstellt (Erstellt am 27.07.22)
VNP Catering GmbH,Standardgruppe,60 FAVORITEN,Zuletzt bestellt vor einem Jahr
VR Bank Nürnberg,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
Vagelis Markopoulos,Standardgruppe,52 FAVORITEN,Zuletzt bestellt vor 20 Tagen
Vamos Club & Event GmbH,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
Vanessa Starz,Standardgruppe,FAVORITEN HINZUFÜGEN,Noch keine Bestellung seit 6 Monate
Vasileiadou,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
VdK Bezirksgeschäftsstelle,Standardgruppe,3 FAVORITEN,Einladung noch nicht angenommen
Veganel,Standardgruppe,FAVORITEN HINZUFÜGEN,Noch keine Bestellung seit 9 Monate
Vegas,Standardgruppe,2 FAVORITEN,Noch keine Bestellung seit 3 Jahre
Velikova,Dienstag,FAVORITEN HINZUFÜGEN,Daten unvollständig
Velvet,Standardgruppe,119 FAVORITEN,Zuletzt bestellt vor 19 Tagen
Velvet Lounge,Standardgruppe,23 FAVORITEN,Noch keine Bestellung seit 12 Tage
Vepos GmbH & Co. KG,Standardgruppe,1 FAVORITEN,Noch keine Bestellung seit 2 Jahre
Verein für Jugendkultur Lauf,Standardgruppe,FAVORITEN HINZUFÜGEN,Noch keine Bestellung seit 9 Monate
Verein z. Förderung d. zeitge-,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
Verein zur Förderung der zeit-,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
